Activity_Code,Funding_Category,Title,Description
C06,"Construction and Modernization","Research Facilities Construction Grant","To provide matching Federal funds, up to 75%, for construction or major remodeling, to create new research facilities. In addition to basic research laboratories this may include, under certain circumstances, animal facilities and/or limited clinical facilities where they are an integral part of an overall research effort."
D43,"Research Training and Career Development","International Research Training Grants","To support research training programs for US and foreign professionals and students to strengthen global health research and international research collaboration. "
D71,"Research Training and Career Development","International Research Training Planning Grant","To plan for the preparation of an application for a D43 international research training grant or for a U2R international research training cooperative agreement."
DP1,"Research and Development","NIH Director’s Pioneer Award (NDPA)","To support individuals who have the potential to make extraordinary contributions to medical research. The NIH Director’s Pioneer Award is not renewable."
DP2,"Research and Development","NIH Director’s New Innovator Awards","To support highly innovative research projects by new investigators in all areas of biomedical and behavioral research."
DP3,"Research and Development","Type 1 Diabetes Targeted Research Award","To support research tackling major challenges in type 1 diabetes and promoting new approaches to these challenges by scientific teams."
DP4,"Research and Development","NIH Director’s Pathfinder Award - Multi-Yr Funding ","To support multi-year funded research with unique, high impact ideas for addressing biomedical research including assuring a balanced and effective workforce.  This research grant program will encourage exceptionally creative scientists to develop potentially transforming approaches for supported research.  The proposed research must reflect ideas that are substantially different from those already being pursued or they must apply existing research designs in new and innovative ways.  This is a multi-year, funded companion activity code to the existing Pioneer Award (DP1); thus ICs need OER prior approval to use the DP4."
DP5,"Research and Development","Early Independence Award","To support the independent research project of a recent doctoral degree recipient. This research grant program will encourage exceptionally creative scientists to bypass the typical post-doc research training period in order to move rapidly to research independence.  It will encourage institutions to develop independent career tracks for recent graduates in order to demonstrate the benefits of early transition to independence both in terms of career productivity for the candidate and research capability for the institution."
DP7,"Research Training and Career Development","NIH Director’s Workforce Innovation Award","To stimulate transformative approaches to training and/or workforce management with the intent of promoting culture change in the field of biomedical training."
E11,,"Grants for Public Health Special Projects","To provide grants to public or nonprofit organizations for planning, development, demonstration, research, training, public information projects for preventive medicine, health promotion and disease prevention to improve the health of targeted populations."
F05,"Research Training and Career Development","International Research Fellowships (FIC)","To provide collaborative research opportunities for qualified non-immigrant alien scientists who hold a doctoral degree or its equivalent in one of the biomedical or behavioral sciences."
F30,"Research Training and Career Development","Individual Predoctoral NRSA for M.D./Ph.D. Fellowships","Individual fellowships for predoctoral training which leads to the combined M.D./Ph.D. degrees."
F31,"Research Training and Career Development","Predoctoral Individual National Research Service Award","To provide predoctoral individuals with supervised research training in specified health and health-related areas leading toward the research degree (e.g., Ph.D.)."
F32,"Research Training and Career Development","Postdoctoral Individual National Research Service Award","To provide postdoctoral research training to individuals to broaden their scientific background and extend their potential for research in specified health-related areas."
F33,"Research Training and Career Development","National Research Service Awards for Senior Fellows","To provide opportunities for experienced scientists to make major changes in the direction of research careers, to broaden scientific background, to acquire new research capabilities, to enlarge command of an allied research field, or to take time from regular professional responsibilities for the purpose of increasing capabilities to engage in health-related research."
F37,"Research Training and Career Development","Medical Informatics Fellowships","To provide training to individuals in the synthesis, organization, and management of knowledge. The training should be interdisciplinary - involving medicine, biotechnology, and cognitive sciences, information science, and computer science."
F38,"Research Training and Career Development","Applied Medical Informatics Fellowships","To provide opportunities for scientists to make major changes in the direction of research careers for the purpose of engaging in the synthesis, organization, and management of knowledge."
F99,"Research Training and Career Development","Predoctoral to Postdoctoral Fellow Transition Award","To support the Pre-doctoral Phase of a Pre-doctoral to Post-doctoral transition award that provides 1-2 years of predoctoral support for highly motivated graduate students. The F99 activity code is intended to only be used in conjunction with a K00 Award"
FI2,"Research Training and Career Development","Intramural Postdoctoral Research Associate","To provide postdoctoral research training to individuals in the NIH or FDA intramural research programs to broaden their scientific background and extend their potential for research in specified health-related areas."
FM1,"Research Training and Career Development","Fellowship for Intramural Dual-Degree Scientists (FIDDS)","To provide predoctoral individuals with training which leads to the combined degrees (e.g., MD/PhD) for trainees completing PhD dissertation research in NIH intramural labs."
G07,"Research and Development","Resources Improvement Grant","A non-renewable grant available to health related organizations to establish, expand or improve Internet connectivity and improve access to digital information resources."
G08,"Research and Development","Resources Project Grant (NLM)","A grant available to health-related institutions to improve the organization and management of health related information using computers and networks."
G11,"Research and Development","Extramural Associate Research Development Award (EARDA)","To provide funds to institutions eligible to participate in the NIH Extramural Associates Program for establishing or enhancing an office of sponsored research and for other research infrastructure needs."
G12,,"Research Centers in Minority Institutions Award","To assist predominantly minority institutions that offer the doctorate in the health professions and/or health-related sciences in strengthening and augmenting their human and physical resources for the conduct of biomedical research."
G13,"Research and Development","Health Sciences Publication Support Awards (NLM)","To provide short-term assistance for the preparation of book-length manuscripts about important scientific information needed by U.S. health professionals. Grants are awarded for major critical reviews and analyses of historical studies and current developments in informatics, technology, librarianship, and secondary reference materials in the biomedical field.  Publication in formats other than print-on-paper (e.g., electronic, film, etc.) are encouraged, as are new and innovative ways of organizing and presenting information. Publication grants do not support journals or other serials and are not suitable for operation of established databases. Work judged to have significant commercial viability will not be supported by these grants. "
G20,"Construction and Modernization","Grants for Repair, Renovation and Modernization of Existing Research Facilities ","To provide funds for major repair, renovation, and modernization of existing research facilities.  These facilities may be the clinical research facilities, animal research facilities, and other related research facilities."
G94,,"Administrative Support for Public Health Service Agency Foundations","Provides financial assistance, as specified by legislation or other authority, for administration of an agency foundation which supports and carries out research, educational, health services, or other activities related to the mission of that PHS agency."
H13,,"Conferences Active","To support international, national, or regional conferences, symposiums, or workshops dealing with services for the rehabilitation, prevention, and treatment of categorical diseases."
H23,,"Immunization Program","Provides financial assistance to public agencies for the purposes of planning, developing, implementing, and studying
immunization programs to control serious diseases for which effective immunizing agents are available.
"
H25,,"Venereal Disease Control","Provides financial assistance to public agencies for the purpose of planning, developing, implementing, and studying venereal disease control programs to inhibit the spread of venereal disease throughout the country."
H28,,"State and Community-Based Injury Control Programs","Provides financial assistance to health agencies serving populations of over 1 million for them to develop, expand, or improve injury control programs to reduce morbidity, mortality, severity, disability, and cost from injuries."
H50,,"Maternal and Child Health Services Project, RB Funds Active","(Definition not available)"
