agency_ic,abbreviation,funding_code
Eunice Kennedy Shriver National Institute of Child Health and Human Development,NICHD,HD
John E. Fogarty International Center for Advanced Study in the Health Sciences,FIC,TW
NIH Office of the Director,OD,OD
National Cancer Institute,NCI,CA
National Center for Advancing Translational Sciences,NCATS,TR
National Center for Complementary and Integrative Health,NCCIH,AT
National Eye Institute,NEI,EY
National Heart Lung and Blood Institute,NHLBI,HL
National Human Genome Research Institute,NHGRI,HG
National Institute of Allergy and Infectious Diseases,NIAID,AI
National Institute of Arthritis and Musculoskeletal and Skin Diseases,NIAMS,AR
National Institute of Biomedical Imaging and Bioengineering,NIBIB,EB
National Institute of Dental and Craniofacial Research,NIDCR,DE
National Institute of Diabetes and Digestive and Kidney Diseases,NIDDK,DK
National Institute of Environmental Health Sciences,NIEHS,ES
National Institute of General Medical Sciences,NIGMS,GM
National Institute of Mental Health,NIMH,MH
National Institute of Neurological Disorders and Stroke,NINDS,NS
National Institute of Nursing Research,NINR,NR
National Institute on Aging,NIA,AG
National Institute on Alcohol Abuse and Alcoholism,NIAAA,AA
National Institute on Deafness and Other Communication Disorders,NIDCD,DC
National Institute on Drug Abuse,NIDA,DA
National Institute on Minority Health and Health Disparities,NIMHD,MD
National Library of Medicine,NLM,LM
