grant_id,mechanistic,clinical,research_tool,therapeutic,diagnostic,obs_ep,infrastructure,education
5K01DA057389-02,0,0,0,0,0,1,0,0
5U54DA016511-23-5806,0,0,0,0,0,0,1,0
5U54DA016511-23-5807,0,0,0,0,0,0,0,1
5U54DA016511-23-5808,0,0,0,0,0,0,1,0
5U54DA046060-08-7250,0,0,0,0,0,0,1,0
4R01DA057658-02,0,1,0,0,0,1,0,0
4R01DA057673-02,0,1,0,0,0,1,0,0
1F31DA064363-01,1,0,0,0,0,0,0,0
5R01AA030262-04,0,1,0,1,0,0,0,0
5R01AA028776-05,0,1,0,1,0,0,0,0
5R01AA030701-04,0,1,0,0,0,0,0,0
5R01AA028815-05,0,0,0,0,0,0,0,0
5R01AA031240-02,1,0,0,0,0,0,0,0
5R01AA030986-02,0,1,0,1,0,0,0,0
5R01AA031815-02,0,0,0,0,0,1,0,0
5K99AA031316-02,0,0,0,0,0,1,0,0
5R01AA029607-04,1,0,0,0,0,0,0,0
5R01AA017626-12,1,0,0,0,0,0,0,0
5R01AA024434-10,1,0,0,0,0,0,0,0
5R01AA018873-15,1,0,0,0,0,0,0,0
5R01AA015614-19,1,0,0,0,0,0,0,0
5R01AA029988-04,1,0,0,0,0,0,0,0
5R01AA030273-03,0,0,0,0,0,1,0,0
5R01AA029701-03,0,0,0,0,0,0,0,0
5R01AA031670-02,1,0,0,0,0,0,0,0
3R01AA028011-05S1,1,0,0,0,0,0,0,0
5P50AA022534-12,0,0,0,0,0,0,1,0
5R00AA029467-05,1,0,0,0,0,0,0,0
5R01AA028011-05,1,0,0,0,0,0,0,0
5R01AA026759-07,1,0,0,0,0,0,0,0
5R01AA031171-03,1,0,0,0,0,0,0,0
5R01AA028812-05,0,0,0,0,0,1,0,0
5R01AA006059-30,1,0,0,0,0,0,0,0
5R01AA029379-04,0,1,0,0,0,0,0,0
5K08AA030080-04,1,0,0,0,0,0,0,0
5K01AA028557-05,0,0,0,0,0,1,0,0
5P50AA027054-07-8473,1,0,0,0,0,0,0,0
5P01AA029545-05-9239,0,0,0,1,0,0,0,0
1R34AA032260-01,0,1,0,1,0,0,0,0
5P01AA029547-05-9272,0,0,0,0,0,1,0,0
4R33AA030581-03,0,1,0,1,0,0,0,0
5K24AA025703-08,0,1,0,0,0,0,0,0
2K24AA027483-07A1,0,0,0,0,0,0,0,1
5R01AA030014-03,1,0,0,0,0,0,0,0
5K23AA032056-02,0,1,0,0,0,0,0,0
5P01AA029544-05-9228,0,1,0,1,0,0,0,0
5U10AA008401-37-7178,0,0,0,0,0,0,1,0
5U10AA008401-37-7180,0,0,0,0,0,1,0,0
5U10AA008401-37-7181,0,0,0,0,0,1,0,0
1F31AA032441-01,1,0,0,0,0,0,0,0
5R01AA030255-04,1,0,0,0,0,0,0,0
5U01AA013498-24,1,0,0,0,0,0,0,0
5R01AA030157-04,0,1,0,1,0,0,0,0
5R01AA030541-03,0,1,0,1,0,0,0,0
5P50AA012870-25-5024,1,0,0,0,0,0,0,0
5P50AA012870-25-5025,0,0,0,1,0,0,0,0
5P50AA012870-25-5026,0,0,0,0,0,0,1,0
5R01AA029312-05,0,1,0,1,0,0,0,0
5R01AA031445-02,0,1,0,1,0,0,0,0
5R01AA030160-03,1,0,0,0,0,0,0,0
5R01AA029124-05,1,0,0,0,0,0,0,0
5R01AA029606-04,0,0,0,1,0,0,0,0
5R01AA030740-03,1,0,0,0,0,0,0,0
5R01AA029788-03,1,0,0,0,0,0,0,0
5T32AA007468-39,0,0,0,0,0,0,0,1
1R43AA032127-01,0,0,0,1,0,0,0,0
5R01AA029386-04,0,0,0,1,0,0,0,0
5R13AA022578-09,0,0,0,0,0,0,1,0
5R01AA026297-08,1,0,0,0,0,0,0,0
5R01AA031609-02,1,0,0,0,0,0,0,0
5R01AA028228-05,1,0,0,0,0,0,0,0
5F32AA031897-02,1,0,0,0,0,0,0,0
5R01AA023146-19,1,0,0,0,0,0,0,0
5R01AA031640-02,0,0,0,0,0,1,0,0
7R01AA030748-03,0,1,0,0,0,0,0,0
5R01AA030594-03,1,0,0,0,0,0,0,0
5K02AA028630-05,0,1,0,0,0,0,0,0
5R01AA030735-03,1,0,0,0,0,0,0,0
5R34AA031652-02,0,1,0,0,0,0,0,0
5R01AA031450-02,1,0,0,0,0,0,0,0
5R01AA029661-04,1,0,0,0,0,0,0,0
5R01AA028476-04,1,0,0,0,0,0,0,0
5R03AA031507-02,0,1,0,0,0,1,0,0
5R01AA030136-03,0,0,0,0,0,1,0,0
5R01AA030024-03,1,0,0,0,0,0,0,0
5U24AA025479-09,1,0,0,0,0,0,0,0
5R01AA031401-02,1,0,0,0,0,0,0,0
5F31AA030908-03,1,0,0,0,0,0,0,0
5F31AA030934-03,1,0,0,0,0,0,0,0
5R01AA030619-03,1,0,0,0,0,0,0,0
5F31AA030492-03,0,0,0,0,0,1,0,0
5R01AA030756-03,1,0,0,0,0,0,0,0
5F30AA031632-02,1,0,0,0,0,0,0,1
5T32AA007474-38,0,0,0,0,0,0,0,1
5R25AA029830-03,0,0,0,0,0,0,0,1
5K01AA030614-05,0,0,0,0,0,0,0,1
5F31AA032154-02,1,0,0,0,0,0,0,0
5R01AA030889-03,0,0,0,0,0,1,0,0
4R00AA029754-03,1,0,0,0,0,0,0,0
5R01AA031213-03,0,0,0,0,0,1,0,0
5P50AA022534-12-8494,0,0,0,0,0,0,1,0
5P50AA022534-12-8500,0,0,0,0,0,0,1,0
5R01AA030975-03,0,0,0,0,0,1,0,0
5R01AA030480-04,0,1,0,0,0,0,0,0
5R01AA030923-03,0,0,0,1,0,0,0,0
5R01AA030988-03,0,1,0,0,0,1,0,0
5R01AA030969-03,0,1,0,0,0,1,0,0
5R44AA030953-03,0,1,0,0,0,0,0,0
5R25AA027402-07,0,0,0,0,0,0,0,1
5K08AA029182-04,1,0,0,0,0,0,0,0
5F31AA031914-02,0,0,0,0,0,1,0,1
5F31AA032197-02,1,0,0,0,0,0,0,0
5K24AA026326-08,0,1,0,0,0,0,0,0
5R01AA030585-03,1,0,0,0,0,0,0,0
5R01AA030026-05,1,0,0,0,0,0,0,0
5R01AA029723-04,1,0,0,0,0,0,0,0
5R01AA029127-05,1,0,0,0,0,0,0,0
5R01AA029409-05,1,0,0,0,0,0,0,0
5R01AA031762-02,0,1,0,1,0,0,0,0
5R01AA022977-12,1,0,0,0,0,0,0,0
3R01AA030464-04S2,0,1,0,0,0,0,0,0
5R01AA029808-04,0,1,0,1,0,0,0,0
5R00AA028300-04,1,0,0,0,0,0,0,0
5P50AA005595-45,0,0,0,0,0,1,0,0
5P50AA005595-45-6920,0,0,0,0,0,1,0,0
5P50AA005595-45-6922,0,1,0,0,0,1,0,0
1R01AA031167-01A1,0,0,0,1,0,0,0,0
2P60AA009803-32-6808,0,1,0,0,0,0,0,0
2P60AA009803-32-6811,1,0,0,0,0,0,0,0
1P60AA032190-01-7001,0,0,0,0,0,1,0,0
5R01AA029989-05,0,0,0,0,0,1,0,0
5R01AA031637-02,0,0,0,0,0,1,0,0
1R01AA032274-01,0,1,0,0,0,0,0,0
1R21AA032370-01,0,0,0,0,0,1,0,0
5P01AA029541-05,0,0,0,0,0,1,0,0
5U54AA030451-04-9108,0,0,0,0,0,0,0,1
5U54AA030451-04-9110,1,0,0,0,0,0,0,0
5R00AA029728-05,0,0,0,0,0,1,0,0
5F31AA031599-02,0,1,0,0,0,0,0,0
2U54AA027989-06-7239,0,0,0,1,0,0,0,0
2U54AA027989-06-7242,0,0,0,0,0,0,1,0
2U54AA027989-06-7243,0,0,0,0,0,0,0,1
5R13AA031419-03,0,0,0,0,0,0,1,0
1R01AA032504-01,0,0,0,0,0,1,0,0
1K08AA032553-01,0,0,0,0,1,0,0,0
1K99AA032540-01,0,0,0,0,0,1,0,0
1R21AA032582-01,0,0,0,0,0,1,0,0
1R01AA031980-01A1,0,1,0,1,0,0,0,0
1R43AA032753-01,0,0,0,1,0,0,0,0
1R41AA032946-01,0,1,0,0,0,0,0,0
4R33AA030780-03,0,1,0,1,0,0,0,0
7K23AA031068-03,0,1,0,1,0,0,0,0
3R01AA031591-02S1,0,1,0,0,0,0,0,0
5R21AA031548-02,0,0,0,0,0,1,0,0
3P01AA029541-05S1,0,0,0,0,0,1,0,0
1P60AA032190-01,0,0,0,0,0,1,0,0
5T32AA007459-40,0,0,0,0,0,0,0,1
5U01AA021681-14,0,0,0,0,0,1,0,0
1R03AA032324-01,1,0,0,0,0,0,0,0
1R01AA031723-01A1,0,0,0,1,0,0,0,0
