grant_id,label
5R01ES025778-04,0
5M01RR000109-34-0478,0
1R01HL162828-01A1,0
5R01AI141958-05,1
2R01CA073062-05,0
5R01HL075721-05,0
5P30EY016665-12-5898,0
5K01DK090403-04,0
5R01HL049172-03,0
5R01HL134956-04,0
5R03DE013753-02,0
5R01LM009533-02,0
2R01AI018941-04,0
5U54EB007958-04,0
5U01CA261822-03,0
5R21DA027080-02,1
5P42ES025589-05-5080,0
1R44GM105132-01,1
1F32NS053066-01,0
5R01CA283038-02,0
5R01GM071630-06,1
1R21DA054952-01,0
5R01AI019641-11,0
5R01HL075713-02,0
5R01AG062268-02,0
1R43AI108206-01A1,1
5R35GM119441-03,1
5R21DA017969-02,0
1R01AA009528-01A2,0
5R01EY025090-04,0
2R01AG010149-06,0
3F32DE029964-01S1,0
1R01DK053411-01A1,0
3R01AI148747-04S1,0
3P41RR010888-13S1,1
1R21EB025017-01,1
5U24RR021382-04-7976,1
5P50AR054041-02-9001,0
5R01GM130791-05,0
3U01AI148309-04S1,1
5R35GM118166-02,0
4R33CA110104-03,1
5R44HD037308-03,1
1R01CA102085-01A3,0
3P30ES007784-06S1-9013,0
5R01GM058549-02,0
1R56AG082087-01,0
5R01EB013297-03,1
1R43AI056844-01,0
1R35GM133566-01,0
3P41RR000570-28S1,0
5U10HD049981-03,0
7R03DA009166-03,0
