Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Alzheimer's Disease,0,2025,NIA,,,NIH Other Funding,,,,"$261,238,824"
Alzheimer's Disease,10608763,2025,NIA,4R01NS119438-02,,Routes to Enhanced HIV Neuropathogenesis Through Expression of Subclinical Levels of Endogenous Amyloid-Beta,"VOLSKY, DAVID",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$827,685"
Alzheimer's Disease,10611819,2025,NIA,4R01NS122028-02,,Reduced BBB Water Exchange as a Preclinical Biomarker of Small Vessel Disease,"GOLD, BRIAN",UNIVERSITY OF KENTUCKY,KY,"$658,362"
Alzheimer's Disease,10642293,2025,NIA,1K22AG081276-01,,"An emerging Alzheimer's disease risk factor: An investigation of hearing impairment, hippocampal function, and memory in middle-aged and older adults","FITZHUGH, MEGAN","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$200,385"
Alzheimer's Disease,10658851,2025,NIA,5R01AG068319-04,,DIAN-TU: Tau Next Generation Prevention Trial,"BATEMAN, RANDALL",WASHINGTON UNIVERSITY,MO,"$16,269,865"
Alzheimer's Disease,10694479,2025,NIA,4R01NS127266-02,,Cognitive Aging Brain Morphology and Arrhythmias in Hispanics/Latinos: Implications for Prevention and Management of Alzheimer's Disease-Related Dementias,"CHEN, LIN",UNIVERSITY OF MINNESOTA,MN,"$947,878"
Alzheimer's Disease,10694526,2025,NIA,4R01NS120922-02,,DNA damage-induced inflammation and its brain-specific consequences,"HERRUP, KARL",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$465,646"
Alzheimer's Disease,10694615,2025,NIA,4R01NS124848-02,,Dissecting the Etiology of The Lewy Body Dementias,"FINKBEINER, STEVEN",J. DAVID GLADSTONE INSTITUTES,CA,"$764,836"
Alzheimer's Disease,10695379,2025,NIA,4R01NS094527-07,,The Function and Mechanisms of Autophagy in Spinal Cord Injury,"WU, JUNFANG",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$748,746"
Alzheimer's Disease,10695415,2025,NIA,4R01NS126547-02,,Mechanisms of Circadian and Synaptic Dysfunction After Repetitive Mild TBI,"WHALEN, MICHAEL",MASSACHUSETTS GENERAL HOSPITAL,MA,"$765,679"
