Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Amyotrophic Lateral Sclerosis (ALS),0,2025,OD,NIH-OD-FDA-CDER-2025-001,,Rare Neurodegenerative Diseases,,,,"$2,296,000"
Amyotrophic Lateral Sclerosis (ALS),10611812,2025,NIA,4R01NS091299-08,,Translation dysregulation in neurodegeneration,"ZARNESCU, DANIELA",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$707,634"
Amyotrophic Lateral Sclerosis (ALS),10611817,2025,NIA,4R01NS098243-07,,Mechanistic studies and therapeutics for ALS/FTD linked to UBQLN2 mutations,"MONTEIRO, MERVYN",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$738,305"
Amyotrophic Lateral Sclerosis (ALS),10694397,2025,NIA,4R01NS101986-07,,Understanding Frontotemporal Dementia Using Drosophila and iPSC Models,"GAO, FEN-BIAO",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$625,941"
Amyotrophic Lateral Sclerosis (ALS),10695346,2025,NIA,4R01NS122218-02,,Deubiquitinase USP19 in TDP-43 pathogenesis.,"KANG, DAVID",CASE WESTERN RESERVE UNIVERSITY,OH,"$595,610"
Amyotrophic Lateral Sclerosis (ALS),10695432,2025,NIA,4R01NS123052-02,,C9orf72-mediated features transcriptomic signatures and translational studies for frontotemporal dementia and related disorders,"VAN BLITTERSWIJK, MARKA",MAYO CLINIC  JACKSONVILLE,FL,"$788,248"
Amyotrophic Lateral Sclerosis (ALS),10695461,2025,NIA,4R01NS126536-02,,Novel repeat associated non-AUG (RAN) proteins in sALS sFTD and SBMA: shared pathological features and unifying therapeutic opportunities,"RANUM, LAURA",UNIVERSITY OF FLORIDA,FL,"$693,663"
Amyotrophic Lateral Sclerosis (ALS),10695559,2025,NIA,4R01NS127925-02,,The role of m6A RNA methylation in C9ORF72-ALS/FTD,"SUN, SHUYING",JOHNS HOPKINS UNIVERSITY,MD,"$582,989"
Amyotrophic Lateral Sclerosis (ALS),10762448,2025,NINDS,5R01NS115834-05,,The functions of the zinc finger protein ZPR1 in R-loop metabolism and neurodegeneration.,"GANGWANI, LAXMAN",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$362,195"
Amyotrophic Lateral Sclerosis (ALS),10795754,2025,NIA,4R01NS129878-02,,Loss of TDP-43 disrupts the prefrontal neural activity and circuitry: relevance for TDP-43 linked ADRD,"LI, YUN",UNIVERSITY OF WYOMING,WY,"$736,565"
Amyotrophic Lateral Sclerosis (ALS),10795768,2025,NIA,4R01NS098819-07,,"Molecular effects of metformin, PKR and TBI on C9orf72 ALS/FTD","RANUM, LAURA",UNIVERSITY OF FLORIDA,FL,"$705,919"
Amyotrophic Lateral Sclerosis (ALS),10809793,2025,NIA,4R33NS130604-02,,Comprehensive Harmonization and Analysis of Case/Control Whole Genome Sequencing Data from the ALS/FTD Compute Project,"LANDERS, JOHN",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$817,388"
Amyotrophic Lateral Sclerosis (ALS),10809808,2025,NIA,4K00NS124183-03,,Role of Astrocytic HTRA1 Signaling in Blood-Brain Barrier (BBB) Maintenance,"JAHAN, NAZNIN",UNIVERSITY OF CALIFORNIA BERKELEY,CA,"$78,646"
Amyotrophic Lateral Sclerosis (ALS),10879525,2025,NINDS,1R35NS137159-01,,Innovating next generation technologies to define mechanisms of neurodegenerative disease and devise therapeutic strategies,"GITLER, AARON",STANFORD UNIVERSITY,CA,"$1,136,484"
Amyotrophic Lateral Sclerosis (ALS),10884059,2025,NINDS,1R35NS137247-01,,Homeostatic Stabilization of Neural Function in Health and Disease,"DAVIS, GRAEME","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$1,174,913"
Amyotrophic Lateral Sclerosis (ALS),10889342,2025,NINDS,1R35NS137447-01,,Expanding insights into FTD disease mechanisms,"PETRUCELLI, LEONARD",MAYO CLINIC  JACKSONVILLE,FL,"$1,138,538"
Amyotrophic Lateral Sclerosis (ALS),10891654,2025,NIA,5R01NS117461-04,,Poly(ADP-ribose) promotes the condensation and toxicity of C9orf72 arginine-rich dipeptide repeat proteins,"ZHANG, YONGJIE",MAYO CLINIC  JACKSONVILLE,FL,"$101,935"
Amyotrophic Lateral Sclerosis (ALS),10891654,2025,NINDS,5R01NS117461-04,,Poly(ADP-ribose) promotes the condensation and toxicity of C9orf72 arginine-rich dipeptide repeat proteins,"ZHANG, YONGJIE",MAYO CLINIC  JACKSONVILLE,FL,"$480,550"
Amyotrophic Lateral Sclerosis (ALS),10911834,2025,NINDS,5R01NS089640-11,,NAD+ metabolism and signaling in ALS models,"VARGAS, MARCELO",UNIVERSITY OF WISCONSIN-MADISON,WI,"$362,295"
Amyotrophic Lateral Sclerosis (ALS),10982484,2025,NIA,5R01AG077771-03,,Nuclear import receptors as modifiers of TDP-43 phase transition and toxicity in FTD/ALS,"ROSSOLL, WILFRIED",MAYO CLINIC  JACKSONVILLE,FL,"$705,885"
Amyotrophic Lateral Sclerosis (ALS),10982507,2025,NIA,5R01AG079898-03,,Effects of TDP-43 Proteinopathy on Retrotransposon Activation and Cell-Type Specific Vulnerability in a Mammalian Model of Alzheimer's and Related Dementias,"SHER, ROGER",STATE UNIVERSITY NEW YORK STONY BROOK,NY,"$525,293"
Amyotrophic Lateral Sclerosis (ALS),10983750,2025,NINDS,5R01NS092788-09,,Modeling the progression of SOD1-linked motor neuron disease,"BORCHELT, DAVID",UNIVERSITY OF FLORIDA,FL,"$355,663"
Amyotrophic Lateral Sclerosis (ALS),10989918,2025,NINDS,5R01NS119812-05,,SARM1 functional polymorphisms and their contribution to ALS risk,"BLOOM, ADAM",WASHINGTON UNIVERSITY,MO,"$537,074"
Amyotrophic Lateral Sclerosis (ALS),10989920,2025,NIA,5R01AG067151-05,,Single-Cell Transcriptional and Epigenomic Dissection to Identify Therapeutic Targets for ALS and FTD,"KELLIS, MANOLIS",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$700,630"
Amyotrophic Lateral Sclerosis (ALS),10991312,2025,NINDS,5R01NS119508-05,,Corticospinal Neuron Dysfunction and Degeneration in ALS: Testing the Role of Corticomotor Connectivity in Motor Neuron Disease,"YOSHIDA, YUTAKA",WINIFRED MASTERSON BURKE MED RES INST,NY,"$652,030"
Amyotrophic Lateral Sclerosis (ALS),10991395,2025,NINDS,5R01NS120477-05,,Raloxifene-Based Therapy in Neuro Degenerative Diseases,"GERMAIN, DORIS",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$330,538"
Amyotrophic Lateral Sclerosis (ALS),10991834,2025,NINDS,5U01NS122102-04,,Optimization of an in vivo base editing strategy to treat SOD1-linked ALS,"GAJ, THOMAS",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,"$993,968"
Amyotrophic Lateral Sclerosis (ALS),10993180,2025,NINDS,5R01NS122533-05,,A Chemical Footprinting Approach towards Poly-ADP-Ribosylation-regulated Biomolecular Condensation,"YU, YONGHAO",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$370,125"
Amyotrophic Lateral Sclerosis (ALS),10994131,2025,NINDS,5R01NS116262-05,,Intermuscular coherence: A novel biomarker for upper motor neuron dysfunction in ALS,"REZANIA, KOUROSH",UNIVERSITY OF CHICAGO,IL,"$538,546"
Amyotrophic Lateral Sclerosis (ALS),11000810,2025,NINDS,5R01NS123023-04,,Pathogenesis and motor neuron degeneration of a novel disease associated with a P158A mutation in NAMPT,"DING, SHINGHUA",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$407,112"
Amyotrophic Lateral Sclerosis (ALS),11003341,2025,NINDS,5R01NS110098-07,,Investigating Dysregulation of Stress-related Ribonucleoprotein Granules and Functions of Associated RNA-binding Proteins in ALS/FTD,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,"$626,989"
Amyotrophic Lateral Sclerosis (ALS),11004380,2025,NINDS,5R01NS126499-02,,Generation and analysis of mouse models to define the roles of the ALS-associated factor Zfp106/ZNF106 in neurodegeneration,"BLACK, BRIAN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$378,826"
Amyotrophic Lateral Sclerosis (ALS),11004637,2025,NIGMS,5P20GM152335-02,8022,Investigation of Superoxide Dismutase I in Parkinson's Disease,"LEAVENS, MOSES",MC LAUGHLIN RESEARCH INSTITUTE,MT,"$360,000"
Amyotrophic Lateral Sclerosis (ALS),11005731,2025,NINDS,5R01NS123556-04,,Development of a CRISPR-Cas13 Gene Therapy for SOD1-Linked ALS,"GAJ, THOMAS",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,"$330,029"
Amyotrophic Lateral Sclerosis (ALS),11006360,2025,NINDS,5R00NS121511-04,,Elucidating the role of RNA oxidation on amyotrophic lateral sclerosis onset and progression,"CHAIM, ISAAC","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$327,197"
Amyotrophic Lateral Sclerosis (ALS),11010409,2025,NIA,5R21AG080666-02,,The Role of Cyclin C in mediating neurodegenerative proteinopathies,"COOPER, KATRINA",ROWAN UNIVERSITY SCHOOL/OSTEOPATHIC MED,NJ,"$201,250"
Amyotrophic Lateral Sclerosis (ALS),11011443,2025,NINDS,5R01NS125490-04,,Dysfunctional Astroglial Exosome to (motor) Neuron Axon Signaling in ALS,"YANG, YONGJIE",TUFTS UNIVERSITY BOSTON,MA,"$380,797"
Amyotrophic Lateral Sclerosis (ALS),11012778,2025,NHLBI,5K23HL151879-05,,Early Respiratory Care in Amyotrophic Lateral Sclerosis Patients at High Risk for Respiratory Failure,"ACKRIVO, JASON",UNIVERSITY OF PENNSYLVANIA,PA,"$196,458"
Amyotrophic Lateral Sclerosis (ALS),11012812,2025,NIA,5R01NS124802-04,,Defining mechanisms underlying C9orf72-associated frontotemporal dementia with C. elegans and mammalian models,"KALB, ROBERT",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$127,342"
Amyotrophic Lateral Sclerosis (ALS),11012812,2025,NINDS,5R01NS124802-04,,Defining mechanisms underlying C9orf72-associated frontotemporal dementia with C. elegans and mammalian models,"KALB, ROBERT",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$527,556"
Amyotrophic Lateral Sclerosis (ALS),11013385,2025,NINDS,5R01NS121114-05,,Understanding the sequence and structural determinants of phase behavior of ALS-causing proteins,"MITTAG, TANJA",ST. JUDE CHILDREN'S RESEARCH HOSPITAL,TN,"$623,969"
Amyotrophic Lateral Sclerosis (ALS),11013931,2025,NIA,5R01AG013730-24,,Compromised LDH activity causes motor deficits and hastens ALS progression,"MILBRANDT, JEFFREY",WASHINGTON UNIVERSITY,MO,"$635,296"
Amyotrophic Lateral Sclerosis (ALS),11014065,2025,NIA,5R01NS074324-15,,Mechanisms of Novel Regulators of Proteotoxicity and Quality Control Associated with ALS/FTD,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,"$91,479"
Amyotrophic Lateral Sclerosis (ALS),11014065,2025,NINDS,5R01NS074324-15,,Mechanisms of Novel Regulators of Proteotoxicity and Quality Control Associated with ALS/FTD,"WANG, JIOU",JOHNS HOPKINS UNIVERSITY,MD,"$431,260"
Amyotrophic Lateral Sclerosis (ALS),11014328,2025,NINDS,5R01NS091836-09,,Mechanisms Underlying Excitability Regulation of Motoneuron Types in ALS,"ELBASIOUNY, SHERIF",WRIGHT STATE UNIVERSITY,OH,"$481,676"
Amyotrophic Lateral Sclerosis (ALS),11014973,2025,NINDS,5R01NS115951-05,,Role of the Intestinal Microbiota in ALS,"WEINER, HOWARD",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$690,184"
Amyotrophic Lateral Sclerosis (ALS),11028190,2025,NINDS,1R01NS140764-01,,Effects of Re-expression of Motor Neuron Selector Transcription Factors on ALS Pathology,"WICHTERLE, HYNEK",COLUMBIA UNIVERSITY HEALTH SCIENCES,NY,"$645,391"
Amyotrophic Lateral Sclerosis (ALS),11030730,2025,NIA,5F32AG086044-02,,Dissecting neuroinflammatory mechanisms in a model of progressive TDP-43 pathology,"O'CONNOR, JAMES",WASHINGTON UNIVERSITY,MO,"$75,520"
Amyotrophic Lateral Sclerosis (ALS),11032030,2025,NIA,5F30AG077858-03,,Characterizing Vulnerable Cell Types in C9orf72-FTD,"DAI, DAVID",UNIVERSITY OF PENNSYLVANIA,PA,"$17,809"
Amyotrophic Lateral Sclerosis (ALS),11033428,2025,NINDS,1K99NS140549-01,,Deciphering terminal selector functions in motor neurons: from worms to humans,"SMITH, JAYSON",UNIVERSITY OF CHICAGO,IL,"$121,230"
