Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Asthma,10838562,2025,NINR,5R01NR019566-06,,Asthma and Technology in Emerging African American Adults (The ATHENA Project),"BAPTIST, ALAN",HENRY FORD HEALTH + MICHIGAN STATE UNIVERSITY HEALTH SCIENCES,MI,"$353,309"
Asthma,10973595,2025,NIAID,5R01AI057459-19,,Allergic inflammation and Transcriptional Regulation in Th9 cells,"KAPLAN, MARK",INDIANA UNIVERSITY INDIANAPOLIS,IN,"$547,946"
Asthma,10975379,2025,NIEHS,5R01ES034803-03,,"Urban planning, siting of air pollution sources, and asthma disparities","MATSUI, ELIZABETH",UNIVERSITY OF TEXAS AT AUSTIN,TX,"$519,558"
Asthma,10983322,2025,NIAID,5R01AI180448-02,,Development of allergy in offspring is enhanced by maternal eicosanoids and lung microbiota composition dysbiosis.,"COOK-MILLS, JOAN",INDIANA UNIVERSITY INDIANAPOLIS,IN,"$761,923"
Asthma,10984960,2025,NHLBI,5R01HL162715-03,,Impact of Obesity on Lung Macrophage Metabolism and Inflammation,"HILL, DAVID",CHILDREN'S HOSP OF PHILADELPHIA,PA,"$600,892"
Asthma,10984961,2025,NHLBI,5R01HL162991-03,,Metabolic perturbations in conventional dendritic cells modulate Tfh13 induction in asthmatic sensitization,"MARTIN, REBECCA",VIRGINIA COMMONWEALTH UNIVERSITY,VA,"$600,643"
Asthma,10984979,2025,NHLBI,5R01HL160570-03,,Hydrogen Sulfide in Neonatal Airway Disease,"PABELICK, CHRISTINA",MAYO CLINIC ROCHESTER,MN,"$596,428"
Asthma,10985008,2025,NHLBI,5R01HL163087-03,,Insulin increases nerve-mediated bronchoconstriction in obesity-related asthma,"NIE, ZHENYING",OREGON HEALTH & SCIENCE UNIVERSITY,OR,"$611,559"
Asthma,10990545,2025,NIAID,5R01AI136041-12,,Eicosanoid Networks in Aspirin Hypersensitivity,"BOYCE, JOSHUA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$636,768"
Asthma,10990999,2025,NIEHS,5P2CES033428-04,8822,Philadelphia Regional Center for Children's Environmental Health,"HOWARTH, MARILYN",UNIVERSITY OF PENNSYLVANIA,PA,"$478,477"
Asthma,10991304,2025,NHLBI,5R01HL155095-05,,Airway Structural Cells and Corticosteroid Resistance in Asthma,"BRITT, RODNEY",RESEARCH INST NATIONWIDE CHILDREN'S HOSP,OH,"$454,317"
Asthma,10991359,2025,NHLBI,5R01HL152101-05,,Central Nervous System Plasticity in Airway Disease,"REZNIKOV, LEAH",UNIVERSITY OF FLORIDA,FL,"$381,250"
Asthma,10991375,2025,NIAID,5R21AI180866-02,,Does age matter for the development of pathogenic T helper 2 resident memory cells in the lung?,"AI, XINGBIN",MASSACHUSETTS GENERAL HOSPITAL,MA,"$202,488"
Asthma,10991688,2025,NHLBI,5R01HL171141-02,,Using statistical network methods to elucidate the multi-omic modulators of the effect of maternal vitamin D levels on childhood asthma,"HALU, ARDA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$894,826"
Asthma,10992654,2025,NHLBI,5R21HL172136-02,,Asthma among children born extremely preterm: multi-omic perinatal predictors,"GOWER, WILLIAM",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$116,625"
Asthma,10994056,2025,NHLBI,5K23HL161354-04,,Novel Markers of Treatment Responsiveness for Pediatric Acute Asthma Exacerbations,"NAVANANDAN, NIDHYA",UNIVERSITY OF COLORADO DENVER,CO,"$184,608"
Asthma,10994627,2025,NIEHS,5K08ES034820-03,,Transcriptional Responses to Wildfire Pollution in Airway Epithelial Cells Identify Genetic Risk Factors and Mechanisms of Asthma Exacerbations,"GUPTA, ARNAV",NATIONAL JEWISH HEALTH,CO,"$174,528"
Asthma,10995294,2025,NIAID,5R21AI178627-02,,Longitudinal changes of the sputum microbiome in adult asthma and its association with asthma exacerbations,"KRINGS, JAMES",WASHINGTON UNIVERSITY,MO,"$188,544"
Asthma,10996196,2025,NIMHD,5R00MD015767-05,,Synthesizing Trial and Real-world Data on the Use of Biologics in Patients with Severe Asthma,"AKENROYE, AYOBAMI",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$179,279"
Asthma,10999447,2025,NHLBI,5R01HL168899-02,,Traffic-Related Ultrafine Particles Disrupt The Resolution Of Lung Inflammation,"LEVY, BRUCE",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$692,585"
Asthma,11000782,2025,NIEHS,5R01ES032871-04,,Prenatal and lifetime exposure to pesticides and particulate matter and respiratory health in young adults from the CHAMACOS birth,"GUNIER, ROBERT",UNIVERSITY OF CALIFORNIA BERKELEY,CA,"$559,935"
Asthma,11001185,2025,NHLBI,5R01HL159804-04,,Role of TNF receptor 2 on Pulmonary Group 2 Innate Lymphoid Cells,"AKBARI, OMID",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$750,867"
Asthma,11001195,2025,NHLBI,5K24HL155884-04,,"Convergence of Vitamin E, THC, Nicotine, Propylene Glycol and Glycerin Effects on Lung Inflammation When Vaped","CROTTY ALEXANDER, LAURA","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$122,104"
Asthma,11001457,2025,NHLBI,5R01HL161665-03,,The Hospital to Home Study: A Pragmatic Trial to Optimize Transitions and Address Disparities in Asthma Care,"PARIKH, KAVITA",CHILDREN'S RESEARCH INSTITUTE,DC,"$909,441"
Asthma,11001498,2025,NHLBI,5K01HL171354-02,,Associations between Perfluoroalkyl Substances (PFAS) Exposure and Aeroallergen Sensitization among Infants at High-Risk for Developing Asthma,"JACKSON-BROWNE, MEDINA",BOSTON CHILDREN'S HOSPITAL,MA,"$161,316"
Asthma,11001841,2025,NIAID,5F30AI181481-02,,Mechanisms of Longitudinal Microbial Colonization in Pediatric Atopic Dermatitis,"DAHAL, ARYA",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$42,658"
Asthma,11001946,2025,NIEHS,5R01ES034749-03,,Action towards health equity and improved air quality in the Duwamish Valley: A multilevel asthma intervention,"HAJAT, ANJUM",UNIVERSITY OF WASHINGTON,WA,"$497,349"
Asthma,11001959,2025,NIAID,5K24AI180296-02,,Patient-Oriented Research Mentorship and Training in Upper Airway Allergic and Inflammatory Diseases,"LAIDLAW, TANYA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$174,031"
Asthma,11002000,2025,NHLBI,5R01HL161674-03,,Gender and Asthma,"ZEIN, JOE",MAYO CLINIC ARIZONA,AZ,"$363,443"
Asthma,11002342,2025,NHLBI,5F31HL167596-03,,Mucosal Associated Invariant T cells in the Obese-asthma endotype,"CANNATA, ANGELA",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$42,479"
Asthma,11002732,2025,NHLBI,5U24HL147018-05,,2/2: AZithromycin Therapy in Preschoolers with a Severe Wheezing Episode Diagnosed at the Emergency Department (AZ-SWED),"CASPER, THERON",UNIVERSITY OF UTAH,UT,"$561,423"
Asthma,11003280,2025,NIAID,5F30AI176712-02,,QTL mapping with Collaborative Cross mice defines genes that promote allergic airway inflammation,"RUSZNAK, MARK",VANDERBILT UNIVERSITY,TN,"$34,728"
Asthma,11003310,2025,NHLBI,5R01HL171676-02,,A randomized trial of perception of airflow limitation training to improve outcomes for older adults with asthma,"WISNIVESKY, JUAN",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$745,430"
Asthma,11003672,2025,NHLBI,5R01HL163024-04,,Epigenetic mechanisms of inflammatory memory propagation in human airway epithelia,"PEZZULO, ALEJANDRO",UNIVERSITY OF IOWA,IA,"$561,241"
Asthma,11003793,2025,NIAID,5K08AI171176-03,,Lung resident Treg suppression of Th2 resident memory T cells in allergicasthma,"NELSON, RYAN",UNIVERSITY OF MINNESOTA,MN,"$194,935"
Asthma,11003969,2025,NHLBI,5R01HL162574-04,,Psychosocial and Genetic Effects on Gene Expression and Asthma,"PIQUE-REGI, ROGER",WAYNE STATE UNIVERSITY,MI,"$651,731"
Asthma,11004618,2025,NHLBI,5R01HL157256-04,,"Post-Vent, the Sequelae: Personalized Prognostic Modeling for Consequences of Neonatal Intermittent Hypoxemia in Preterm Infants at Pre-School Age","WEESE-MAYER, DEBRA",LURIE CHILDREN'S HOSPITAL OF CHICAGO,IL,"$1,587,757"
