Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Autism,10748392,2025,NIMH,5R01MH116252-05,,Modeling Social and Non-Social Learning in Autism,"ROSENBLAU, GABRIELA",GEORGE WASHINGTON UNIVERSITY,DC,"$269,992"
Autism,10786441,2025,NICHD,1R21HD113986-01,,Resolving the relationship between mitochondrial dysfunction and the impact of non-syndromic autism spectrum disorder-related risk genes on neuronal structure and function,"KOZICZ, LASZLO",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$253,500"
Autism,10847527,2025,NICHD,5R01HD108790-03,,A Modular Framework for Data-Driven Neurogenetics to Predict Complex and Multidimensional Autistic Phenotypes,"VENKATARAMAN, ARCHANA",BOSTON UNIVERSITY (CHARLES RIVER CAMPUS),MA,"$438,718"
Autism,10875468,2025,NIMH,5R01MH121622-04,,2/3 Effectiveness Trial of the Early Social Interaction (ESI) Model using Mobile Technology for Toddlers with Autism Identified from Early Screening in Primary Care,"STAPEL-WAX, JENNIFER",EMORY UNIVERSITY,GA,"$154,559"
Autism,10884059,2025,NINDS,1R35NS137247-01,,Homeostatic Stabilization of Neural Function in Health and Disease,"DAVIS, GRAEME","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$1,174,913"
Autism,10894921,2025,NIMH,5R01MH125516-04,,"Assessing Genomic, Regulatory and Transcriptional Variation at Single Nuclei Resolution in the Brains of Individuals with Autism Spectrum Disorder","NOWAKOWSKI, TOMASZ","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$784,665"
Autism,10924052,2025,NIMH,5K99MH135180-02,,Anxiety in Youth with Autism Spectrum Disorder,"THOM, ROBYN",MASSACHUSETTS GENERAL HOSPITAL,MA,"$128,724"
Autism,10932179,2025,NIDCD,5F31DC021107-02,,Naturalistic Social Communication in Autistic Females: Identification of Speech Prosody Markers,"PUTNAM, ORLA",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$43,138"
Autism,10954266,2025,NIMH,5R01MH129310-03,,Behavioral and neural mechanisms mediating social motivation in a rat model for ASD,"VENNIRO, MARCO",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$436,018"
Autism,10954720,2025,NIMH,5R01MH124695-05,,Mechanisms and pathogenic role of early corticostriatal dysfunction in Shank3B-/- mice,"PEIXOTO, RUI",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$397,500"
Autism,10973711,2025,NEI,8K00EY038170-02,,Characterizing individual differences in toddlers' information seeking during naturalistic play,"HASKINS, AMANDA","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$52,322"
Autism,10973711,2025,NINDS,8K00EY038170-02,,Characterizing individual differences in toddlers' information seeking during naturalistic play,"HASKINS, AMANDA","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$29,296"
Autism,10973715,2025,NINDS,4K00NS129170-03,,Activity dependent mechanisms of human interneuron development,"CRESPO, EMMANUEL",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$88,560"
Autism,10974033,2025,NIMH,5R01MH101221-13,,Rare Mutations and Autism Spectrum Disorders,"EICHLER, EVAN",UNIVERSITY OF WASHINGTON,WA,"$757,658"
Autism,10975040,2025,NIMH,5R01MH125006-05,,GABAergic Interneuron Dysfunction in Developing Cortical Circuits Underlying Autism Spectrum Disorders,"DE MARCO GARCIA, NATALIA",WEILL MEDICAL COLL OF CORNELL UNIV,NY,"$421,840"
Autism,10975045,2025,NIDCD,5F31DC021637-02,,The neural underpinnings of speech and nonspeech auditory processing in autism: Implications for language,"THOMAS, HANNAH",UNIVERSITY OF CONNECTICUT STORRS,CT,"$30,133"
Autism,10975358,2025,NIMH,5R01MH094681-14,,Cortical and subcortical chandelier cell pathophysiology and symptomatology in autism,"MARTINEZ-CERDENO, VERONICA",UNIVERSITY OF CALIFORNIA AT DAVIS,CA,"$543,862"
Autism,10977077,2025,NIMH,5R01MH124808-05,,Genomic and functional characterization of ASD and ID-associated MYT1L mutation,"KROLL, KRISTEN",WASHINGTON UNIVERSITY,MO,"$762,550"
