Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Crohn's Disease,10796922,2025,NIDDK,5R01DK125495-04,,Targeting the Mycobiome in Genetically Defined Patients with Crohns Disease,"UNDERHILL, DAVID",CEDARS-SINAI MEDICAL CENTER,CA,"$548,343"
Crohn's Disease,10948086,2025,NIDDK,5F31DK137416-02,,Application of social cognitive theory to physical activity behavior among adults with Crohn's disease,"NEAL, WHITNEY",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$22,403"
Crohn's Disease,10986134,2025,NIAID,5R01AI168411-02,,Innate immune responses to tissue infection by intestinal fungi inhibit wound repair,"STAPPENBECK, THADDEUS",CLEVELAND CLINIC LERNER COM-CWRU,OH,"$771,486"
Crohn's Disease,10992134,2025,NIDDK,5K23DK134814-03,,A Fully Remote Pilot Randomized Controlled Trial to Investigate the Impact of Insomnia Treatment on Crohn’s disease,"SALWEN-DEREMER, JESSICA",DARTMOUTH-HITCHCOCK CLINIC,NH,"$188,024"
Crohn's Disease,10997310,2025,OD,5K01OD030517-04,,Exploring Glutamate Carboxypeptidase II (GCPII) Dysregulation in Human and Experimental IBD,"PETERS, DIANE",JOHNS HOPKINS UNIVERSITY,MD,"$130,140"
Crohn's Disease,11000387,2025,NIDDK,5K01DK127008-05,,Effect of an Anti-Inflammatory Diet on Gut Homeostasis in Active and Experimental Crohn's Disease,"RAFFNER, ABIGAIL",CASE WESTERN RESERVE UNIVERSITY,OH,"$121,770"
Crohn's Disease,11010832,2025,NIAID,5R01AI168044-04,,Mechanisms that alter lymphatic transport in inflammatory bowel disease,"RANDOLPH, GWENDALYN",WASHINGTON UNIVERSITY,MO,"$544,213"
Crohn's Disease,11014984,2025,NIDDK,5K23DK127241-04,,Characterizing the Biologic Evolution of Crohn's Disease Like Pouch Inflammation in Ulcerative Colitis Patients After Restorative Proctocolectomy with Ileal Pouch Anal Anastomosis,"KAYAL, MAIA",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$190,904"
Crohn's Disease,11016987,2025,NIDDK,5K08DK131321-04,,IL1 as a Driver of Mucosal Immune Dysregulation in Inflammatory Bowel Disease,"MITSIALIS, VANESSA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$168,400"
Crohn's Disease,11018564,2025,NIDDK,5K08DK133640-03,,Precision Medicine in Inflammatory Bowel Disease: Refining the Clinical and Genomic Predictors of Response to Anti-IL-12/23 Therapy,"CUSHING-DAMM, KELLY",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$166,694"
Crohn's Disease,11019657,2025,NIDDK,1R01DK141491-01,,Impact of AIM2 on Intestinal Stem Cell Differentiation During Inflammation,"WILSON, JUSTIN",UNIVERSITY OF ARIZONA,AZ,"$567,205"
Crohn's Disease,11019845,2025,NIDDK,5R01DK132244-04,,Dietary Regulation of Intestinal Inflammation and Repair,"ARTIS, DAVID",WEILL MEDICAL COLL OF CORNELL UNIV,NY,"$681,939"
Crohn's Disease,11026380,2025,NIDDK,5R01DK138466-02,,"Understanding the Interaction between Host Genetics, Immune response, and Gut Microbes in Post-operative Recurrence of Crohn's disease","LEE, SUN-HO",SINAI HEALTH SYSTEM,CANADA,"$324,000"
Crohn's Disease,11034091,2025,NIDDK,5R01DK138462-02,,Multi-omic characterization of genetic variants in IBD risk loci,"FUREY, TERRENCE",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$459,943"
