Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Cystic Fibrosis,10979143,2025,NHLBI,5R01HL150658-03,,Neutrophil hyperexocytosis and hypochlorous acid exposure in early cystic fibrosis lung disease,"CHANDLER, JOSHUA",EMORY UNIVERSITY,GA,"$384,601"
Cystic Fibrosis,10994153,2025,NHLBI,5R01HL157776-04,,Pathogenic monocyte response to chronic lung inflammation in cystic fibrosis,"BRUSCIA, EMANUELA",YALE UNIVERSITY,CT,"$771,679"
Cystic Fibrosis,10999438,2025,NIAID,5R01AI176245-02,,Impact of Pseudomonas aeruginosa cytochrome P450 enzymes and secondary metabolites on drug metabolism and disposition in the cystic fibrosis patient,"LAMPE, JED",UNIVERSITY OF COLORADO DENVER,CO,"$678,232"
Cystic Fibrosis,11000312,2025,NIAID,5R01AI169781-03,,A prophylactic vaccine to prevent colonization by Pseudomonas aeruginosa,"PICKING, WENDY",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$772,498"
Cystic Fibrosis,11001476,2025,NHLBI,5R01HL171735-02,,"Advancing Symptom Science and Management in Cystic Fibrosis: Biological, Social, and Clinical Mechanisms","KAVALIERATOS, DIONYSIOS",EMORY UNIVERSITY,GA,"$631,065"
Cystic Fibrosis,11003695,2025,NHLBI,5R01HL167048-03,,COVID-19 airway inflammation is due to Spike inhibition of CFTR signaling,"POLLARD, HARVEY",HENRY M. JACKSON FDN FOR THE ADV MIL/MED,MD,"$635,380"
Cystic Fibrosis,11003727,2025,NHLBI,5R01HL171035-02,,Adenine Base Edited Correction of Cystic Fibrosis Airways,"SINN, PATRICK",UNIVERSITY OF IOWA,IA,"$688,492"
Cystic Fibrosis,11003784,2025,NHLBI,5R01HL136414-08,,Discovery of novel mechanisms that impact CFTR translation and contribute to cystic fibrosis pathogenesis,"SORSCHER, ERIC",EMORY UNIVERSITY,GA,"$551,534"
Cystic Fibrosis,11004165,2025,NHLBI,5K24HL141669-07,,Patient-oriented microbiome and advanced culture approaches to identifying the microbial determinants of chronic pediatric disease,"HOFFMAN, LUCAS",UNIVERSITY OF WASHINGTON,WA,"$125,068"
Cystic Fibrosis,11005012,2025,NHLBI,5K08HL151762-05,,TGF-Beta Regulates CFTR-Mediated Airway Smooth Muscle Dysfunction,"KRAMER, ELIZABETH",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$164,160"
