Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Depression,10488056,2025,NINR,5F31NR019712-02,,"Migraine, Depressive Symptoms, and Maternal Quality of Life in the Postpartum Period: The Role of Comorbidity, Disengagement, and Social and Economic Disadvantage","MATTHEWS, ANNA",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$41,432"
Depression,10687128,2025,NIAID,5R01AI148461-03,,The Effectiveness and Cost-Effectiveness of Implementing Evidence-Based Depression Treatment within the TB Care Platform in South Africa: A Hybrid Effectiveness-Implementation Trial,"SWEETLAND, ANNIKA","NEW YORK STATE PSYCHIATRIC INSTITUTE DBA RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC",NY,"$197,850"
Depression,10695359,2025,NIA,4R01NS119872-02,,Targeting the gut for stroke neuroprotection; IGF-1 modulation of the blood-gut barrier,"SOHRABJI, FARIDA",TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,TX,"$534,246"
Depression,10733418,2025,NIMH,5R01MH119771-05,,Social Processing Deficits in Remitted Adolescent Depression,"AUERBACH, RANDY","NEW YORK STATE PSYCHIATRIC INSTITUTE DBA RESEARCH FOUNDATION FOR MENTAL HYGIENE, INC",NY,"$728,902"
Depression,10750968,2025,NIMH,5R01MH128617-03,,Using allopregnanolone to probe behavioral and neurobiological mechanisms that underlie depression in women across perimenopausal stage,"JOFFE, HADINE",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$924,035"
Depression,10811655,2025,NIMHD,5K01MD015749-05,,Promoting Structured Physical Activity among Individuals Incarcerated in Jail,"CAMPLAIN, RICKY",TRUSTEES OF INDIANA UNIVERSITY,IN,"$130,691"
Depression,10812510,2025,NIMH,5R61MH129380-02,,Targeting Dopamine-Mediated Social Reward Sensitivity to Remediate Social Disconnection,"TAYLOR, CHARLES","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$1,401,353"
Depression,10828384,2025,NIMH,5R01MH127176-04,,Inflammatory and Glutamatergic Mechanisms of Sustained Threat in Adolescents with Depression: Toward Predictors of Treatment Response and Clinical Course,"HO, TIFFANY",UNIVERSITY OF CALIFORNIA LOS ANGELES,CA,"$796,675"
Depression,10836384,2025,NIMH,5R01MH126183-04,,Interactive development of reinforcement learning and adaptive memory,"HARTLEY, CATHERINE",NEW YORK UNIVERSITY,NY,"$733,825"
Depression,10861716,2025,NINDS,5UH3NS123310-02,,Responsive Neurostimulation for Treatment Resistant Depression,"KRYSTAL, ANDREW","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$1,559,435"
Depression,10866609,2025,NIMH,5R01MH125846-04,,Morning Activation Deficits and Depression Symptoms: Mechanisms and Modifiability in Dementia Caregivers,"SMAGULA, STEPHEN",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$788,916"
Depression,10868688,2025,NIMH,5R01MH123556-04,,Skills to Enhance Positivity (STEP) for Adolescents at Risk for Suicide,"SPIRITO, ANTHONY",BROWN UNIVERSITY,RI,"$471,418"
Depression,10874582,2025,NIDA,5R33AT010806-04,,Enhancing Exercise and Psychotherapy to Treat Comorbid Addiction and Pain for ImprovingAdherence to Medication Assisted Treatment in Opioid Use Disorders,"NOCK, NORA",CASE WESTERN RESERVE UNIVERSITY,OH,"$870,587"
Depression,10877938,2025,NIMH,5R01MH121735-05,,ORIGINS AND EMERGENCE OF MALADAPTIVE SOCIOEMOTIONAL BEHAVIOR DURING THE TRANSITION TO ADULTHOOD IN PRIMATES,"FOX, ANDREW",UNIVERSITY OF CALIFORNIA AT DAVIS,CA,"$665,927"
Depression,10878436,2025,NCI,4R37CA248434-05,,Evaluating Digital Micro-Interventions to Reduce Distress and Increase Wellbeing in Breast Cancer Survivors,"CHOW, PHILIP",UNIVERSITY OF VIRGINIA,VA,"$527,125"
Depression,10883889,2025,NIA,4R01AG071677-03,,"Psychological risk factors, quality of life, community, and brain aging in American Indians: The Strong Heart Study","SUCHY-DICEY, ASTRID",HUNTINGTON MEDICAL RESEARCH INSTITUTES,CA,"$641,516"
Depression,10894842,2025,NIMH,5R01MH128872-04,,The Role of Inflammation in CNS Mechanisms of Anhedonia and Psychomotor Slowing in Depressed PWH as Determined using a Next Generation TNF Antagonist,"FELGER, JENNIFER",EMORY UNIVERSITY,GA,"$611,429"
