Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Diabetes,10746801,2025,NIDDK,5R01DK125283-04,,Mitochondrial BCAA transporter in physiology and disease,"KAJIMURA, SHINGO",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$472,427"
Diabetes,10747446,2025,NIA,5R21AG080358-02,,Saccharin and Acesulfame Potassium Consumption and Glucose Homeostasis in Older Adults with Prediabetes,"HEDRICK, VALISA",VIRGINIA POLYTECHNIC INST AND ST UNIV,VA,"$200,000"
Diabetes,10833561,2025,NIDDK,5R01DK125330-05,,Effects of Exercise and GLP-1R Agonism on Muscle Microvascular Perfusion and Insulin Action,"LIU, ZHENQI",UNIVERSITY OF VIRGINIA,VA,"$656,830"
Diabetes,10834098,2025,NIDDK,5R01DK125898-04,,Insulin Regulation of Hepatic Function via Zone-Specific Transcriptional Programs,"BIDDINGER, SUDHA",BOSTON CHILDREN'S HOSPITAL,MA,"$500,253"
Diabetes,10843850,2025,NIDDK,5R01DK131350-03,,Strengths-Based Multi-Level Behavioral Intervention to Promote Resilience and Self-Management in Youth with Type 1 Diabetes,"HILLIARD, MARISA",BAYLOR COLLEGE OF MEDICINE,TX,"$729,666"
Diabetes,10843942,2025,NIA,5R01AG074562-04,,"Look AHEAD Sleep: Sleep-disordered breathing, circadian rest/activity rhythms, and the risk of Alzheimer's disease and related dementias in Look AHEAD","UDEH-MOMOH, CHINEDU",WAKE FOREST UNIVERSITY HEALTH SCIENCES,NC,"$1,616,243"
Diabetes,10845691,2025,NIMHD,5R01MD017060-03,,Physician Networks for Diabetic Lower Extremity Wounds,"DAMBERG, CHERYL",RAND CORPORATION,CA,"$878,157"
Diabetes,10860959,2025,NIDDK,5R01DK126456-04,,Beta-cell responses to oxidative stress and Type 1 diabetes,"TSE, HUBERT",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$530,135"
Diabetes,10875532,2025,FIC,5R01NS118544-05,,A Targeted Self-Management Intervention for Reducing Stroke Risk Factors in High Risk Ugandans,"SAJATOVIC, MARTHA",CASE WESTERN RESERVE UNIVERSITY,OH,"$10,000"
Diabetes,10875532,2025,NINDS,5R01NS118544-05,,A Targeted Self-Management Intervention for Reducing Stroke Risk Factors in High Risk Ugandans,"SAJATOVIC, MARTHA",CASE WESTERN RESERVE UNIVERSITY,OH,"$564,743"
