Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Endometriosis,11004255,2025,NICHD,5R01HD113693-03,,Functional Genomics Across an Ethnically and Racially Diverse Endometriosis Population,"LAWRENSON, KATE",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,TX,"$558,588"
Endometriosis,11009004,2025,NHLBI,5R01HL161000-04,,Mechanisms and interventions addressing accelerated cardiovascular disease risk in women with endometriosis,"ALEXANDER, LACY","PENNSYLVANIA STATE UNIVERSITY, THE",PA,"$748,418"
Endometriosis,11009910,2025,NICHD,5R01HD102170-06,,Epigenetic regulation of receptive endometrium,"JEONG, JAE-WOOK",UNIVERSITY OF MISSOURI-COLUMBIA,MO,"$548,735"
Endometriosis,11011444,2025,NCI,5R01CA248288-05,,Relating Molecular Subgroups of Endometriosis-Associated Ovarian Cancers to Survival and Risk,"GOODE, ELLEN",MAYO CLINIC ROCHESTER,MN,"$347,549"
Endometriosis,11026433,2025,NICHD,5R01HD113891-02,,Roles of GATA Transcription Factors in Endometriosis,"CHAKRAVARTI, DEBABRATA",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$652,138"
Endometriosis,11044076,2025,NICHD,5R01HD099090-05,,Regulation of Endometriotic Lesion Development by NOTCH1,"FAZLEABAS, ASGERALLY",MICHIGAN STATE UNIVERSITY,MI,"$547,003"
Endometriosis,11045649,2025,NIGMS,5R16GM149365-03,,The Enteric Glia as a Possible Target for Symptom Relief in Endometriosis,"APPLEYARD, CAROLINE",PONCE SCHOOL OF MEDICINE,PR,"$156,800"
Endometriosis,11053494,2025,NICHD,5R01HD110567-03,,Integrative risk modeling for early prediction of endometriosis and its long-term health outcomes ,"VERMA, SHEFALI",UNIVERSITY OF PENNSYLVANIA,PA,"$654,633"
Endometriosis,11074046,2025,NICHD,5R01HD111242-03,,Novel biomarkers and pathways of persistent endometriosis-associated pain across the life course,"AS-SANIE, SAWSAN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$807,304"
Endometriosis,11077279,2025,NHLBI,5R01HL164715-03,,"Endometriosis Diagnosis and Subtypes, Reproductive History, and Cardiovascular Disease","SCHLIEP, KAREN",UNIVERSITY OF UTAH,UT,"$675,463"
Endometriosis,11078726,2025,NICHD,5R01HD102680-05,,Role of the gut microbiota in endometriosis,"KOMMAGANI, RAMAKRISHNA",BAYLOR COLLEGE OF MEDICINE,TX,"$375,960"
Endometriosis,11084387,2025,NICHD,5R01HD104619-05,,Complex inflammatory mechanisms and therapeutic targeting in endometriosis,"HAYASHI, KANAKO",WASHINGTON STATE UNIVERSITY,WA,"$478,307"
Endometriosis,11085179,2025,NICHD,5R01HD105714-05,,"REST/NRSF, miRNAs, and tissue remodeling in adenomyosis pathophysiology","NOTHNICK, WARREN",UNIVERSITY OF KANSAS MEDICAL CENTER,KS,"$611,887"
Endometriosis,11088869,2025,NICHD,5R01HD110038-04,,Kinases as Therapeutic Targets for Endometriosis,"MATZUK, MARTIN",BAYLOR COLLEGE OF MEDICINE,TX,"$687,714"
Endometriosis,11094125,2025,NICHD,5R01HD107406-04,,Phytotherapy for Endometriosis,"AROSH, JOE",TEXAS A&M UNIVERSITY,TX,"$325,725"
Endometriosis,11095870,2025,NICHD,5P50HD112034-03,8675,Lymphocyte function in inflammatory disorders of human endometrium anddecidua,"HUDDLESTON, HEATHER","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$615,705"
Endometriosis,11097368,2025,NICHD,5R01HD105800-04,,Targeting the endometrial stem cell niche inendometriosis,"MONSIVAIS, DIANA",BAYLOR COLLEGE OF MEDICINE,TX,"$492,806"
Endometriosis,11103600,2025,NINDS,1R01HD117775-01,,Individual differences in brain morphology and connectivity to identify the mechanisms of comorbidities and treatment-refractory disease in females with endometriosis-associated pelvic pain,"SCHREPF, ANDREW",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$2,969,745"
Endometriosis,11112412,2025,NICHD,5R01HD103617-05,,Epigenetic regulatory mechanisms and therapeutic opportunities in endometriosis,"CHANDLER, RONALD",MICHIGAN STATE UNIVERSITY,MI,"$336,475"
Endometriosis,11115568,2025,NICHD,5R01HD110335-04,,Parsing the Interplay Between Biophysical and Biochemical Microenvironment Cues On Endometriosis Lesion Phenotypes Using Microphysiological Systems,"GRIFFITH, LINDA",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$323,667"
Endometriosis,11122979,2025,NICHD,1R01HD118318-01,,Delineating the role of ALDH2 in endometriosis,"MCALLISTER, STACY",EMORY UNIVERSITY,GA,"$378,473"
Endometriosis,11122979,2025,OD,1R01HD118318-01,,Delineating the role of ALDH2 in endometriosis,"MCALLISTER, STACY",EMORY UNIVERSITY,GA,"$150,000"
Endometriosis,11124768,2025,NICHD,5R01HD114195-03,,Microphysiological modeling of Endometriosis,"KIM, JI-YONG",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$562,423"
Endometriosis,11129796,2025,NICHD,5R01HD109027-05,,Molecular mechanisms of gap junction promotion of lesion formation in Endometriosis,"NICHOLSON, BRUCE",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,TX,"$427,800"
Endometriosis,11132762,2025,NICHD,1R01HD115342-01A1,,STING inhibition as a therapeutic target for endometriosis,"VILLACORTA, LUIS",MOREHOUSE SCHOOL OF MEDICINE,GA,"$578,397"
Endometriosis,11134072,2025,NICHD,1R01HD114722-01A1,,"Ion Channels Critical for Uterine Contraction, Reproduction, and Adenomyosis","ZHUGE, RONGHUA",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$584,074"
Endometriosis,11136788,2025,NICHD,1R21HD115568-01A1,,Peripheral and central mechanisms of endometriosis pain,"NAHMAN-AVERBUCH, HADAS",WASHINGTON UNIVERSITY,MO,"$233,250"
Endometriosis,11138752,2025,NCI,5R01HD109707-04,,Targeting cellular senescence to inhibit the development and progression of ovarian endometriomas,"HAWKINS, SHANNON",INDIANA UNIVERSITY INDIANAPOLIS,IN,"$214,585"
Endometriosis,11138752,2025,NICHD,5R01HD109707-04,,Targeting cellular senescence to inhibit the development and progression of ovarian endometriomas,"HAWKINS, SHANNON",INDIANA UNIVERSITY INDIANAPOLIS,IN,"$404,186"
Endometriosis,11141616,2025,NICHD,5R01HD108895-04,,Development of anti-inflammatory nanodrug for endometriosis treatment,"KIM, TAEHO",MICHIGAN STATE UNIVERSITY,MI,"$628,601"
Endometriosis,11141913,2025,NICHD,5R21HD114953-02,,Single cell analytics and drug discovery at the endometrial-myometrial junction in symptomatic adenomyosis,"GIUDICE, LINDA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$1,875"
Endometriosis,11141913,2025,OD,5R21HD114953-02,,Single cell analytics and drug discovery at the endometrial-myometrial junction in symptomatic adenomyosis,"GIUDICE, LINDA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$121,125"
Endometriosis,11142198,2025,NICHD,1R01HD118600-01,,Physiomimetic Models of Endometrioma Initiation,"HARLEY, BRENDAN",UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,IL,"$643,049"
Endometriosis,11143044,2025,NICHD,5R21HD115018-02,,Risk factors for and consequences of endometriosis among Black women,"HARRIS, HOLLY",FRED HUTCHINSON CANCER CENTER,WA,"$211,660"
Endometriosis,11158748,2025,NICHD,5P01HD106414-05,8151,Administrative Core (Core A),"GIUDICE, LINDA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$69,675"
Endometriosis,11158749,2025,NICHD,5P01HD106414-05,9744,"Leveraging Single-Cell Technologies to Elucidate Niche Environments and Immune Mechanisms Involved in Endometriosis Pathogenesis, Pathophysiology, and Disease Stratification","GIUDICE, LINDA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$397,084"
Endometriosis,11158752,2025,NICHD,5P01HD106414-05,9746,Mass Spectrometry-based Global Molecular Approaches and Computational Tools to Determine Phenotypic and Environmental Signatures of Endometriosis,"FISHER, SUSAN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$411,913"
Endometriosis,11158753,2025,NICHD,5P01HD106414-05,9745,Leveraging Omics-Based Computational Approaches to Identify and Validate Novel Therapeutic Candidates for Endometriosis,"SIROTA, MARINA","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$408,594"
Endometriosis,11158754,2025,NICHD,5P01HD106414-05,8157,Education and Community Engagement Core (Core B),"OPOKU-ANANE, JESSICA ","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$70,125"
Endometriosis,11162485,2025,NICHD,5R21HD114955-02,,Noninvasive and early detection of endometriosis using a biological neural circuit-based novel gas sensor,"FAZLEABAS, ASGERALLY",HENRY FORD HEALTH + MICHIGAN STATE UNIVERSITY HEALTH SCIENCES,MI,"$232,678"
Endometriosis,11163351,2025,NICHD,5R01HD108253-03,,The impact of hormonal modulation on systemic inflammation and central sensitization,"AS-SANIE, SAWSAN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$635,966"
Endometriosis,11165590,2025,NICHD,1F32HD118693-01,,Implications for iron homeostasis and ferroptosis in early pregnancy and endometriosis,"THAPA, RUPAK",BAYLOR COLLEGE OF MEDICINE,TX,"$78,052"
Endometriosis,11168709,2025,NICHD,5R01HD099341-05,,Discovery and development of potent inhibitors of Jun N-terminal kinase for non-hormonal treatment of endometriosis and associated pain,"MONSIVAIS, DIANA",BAYLOR COLLEGE OF MEDICINE,TX,"$529,931"
Endometriosis,11175377,2025,NICHD,5P01HD106485-05,8181,Center Administrative Core,"YOUNG, STEVEN",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$46,822"
Endometriosis,11175379,2025,NICHD,5P01HD106485-05,8182,Diagnosis and Treatment of Endometriosis: A Translational Approach,"YOUNG, STEVEN",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$266,135"
Endometriosis,11175381,2025,NICHD,5P01HD106485-05,8185,SIRT1 as a Therapeutic Target in Endometriosis,"JEONG, JAE-WOOK",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$349,465"
Endometriosis,11175385,2025,NICHD,5P01HD106485-05,8187,Imaging and treatment of endometriosis in nonhuman primates,"SLAYDEN, OV",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$377,916"
Endometriosis,11175389,2025,NICHD,5P01HD106485-05,8188,Endometriosis Education Outreach,"DASOUKI ABU-ALNADI, NOOR",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$49,247"
Endometriosis,11175390,2025,NICHD,5P01HD106485-05,8189,Comparative Genomics and Bioinformatics Core,"COX, LAURA",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$173,322"
Endometriosis,11176357,2025,NICHD,5R01HD114855-02,,Disentangling the genetic mechanisms of endometriosis severity with single-cell multi-omics,"LAWRENSON, KATE",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,TX,"$699,329"
Endometriosis,11177061,2025,NICHD,5K23HD110710-02,,Interdisciplinary group care for the treatment of endometriosis-associated pain,"ROSS, WHITNEY",WASHINGTON UNIVERSITY,MO,"$162,685"
Endometriosis,11177593,2025,NICHD,5F30HD115314-02,,Imaging the Uterotubal Junction for Endometriosis Detection,"LONG, DILARA",UNIVERSITY OF ARIZONA,AZ,"$42,171"
Endometriosis,11183203,2025,NICHD,2R44HD109055-02A1,,Phase II- Repurposing CRH antagonists for the treatment of endometriosis,"TORRES-REVERON, ANNELYN","SUR180 THERAPEUTICS, LLC",TX,"$1,239,987"
Endometriosis,11184407,2025,NICHD,5K99HD115829-02,,Endometrial immune microenvironment dysfunction in endometriosis pathobiology,"FEYAERTS, DORIEN",STANFORD UNIVERSITY,CA,"$128,072"
Endometriosis,11185524,2025,NICHD,1R44HD118899-01,,Performance evaluation of a non-invasive menstrual test for endometriosis in infertility patients,"GIRE, STEPHEN","NEXTGENJANE, INC.",CA,"$759,944"
Endometriosis,11186444,2025,NICHD,1SB1HD118921-01,,"Novel, Non-hormonal Therapeutic for Endometriosis","PETROSSIAN, TANYA","ENDOMET BIOSCIENCES, INC",CA,"$2,045,782"
Endometriosis,11190791,2025,RMAP,5DP1MH140021-02,,The cytokine code and neural circuits for sensing inflammation state,"KEPECS, ADAM",WASHINGTON UNIVERSITY,MO,"$1,088,500"
Endometriosis,11197620,2025,NHGRI,5R01HG013258-02,,Hormonal Influences on Inflammation in Endometriosis,"LAWRENSON, KATE",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,TX,"$67,472"
Endometriosis,11197620,2025,OD,5R01HG013258-02,,Hormonal Influences on Inflammation in Endometriosis,"LAWRENSON, KATE",UNIVERSITY OF TEXAS HLTH SCIENCE CENTER,TX,"$229,419"
Endometriosis,11201090,2025,NICHD,1R01HD118973-01,,Revealing Cilia Function in the Human Fallopian Tubes,"BARTON, JENNIFER",UNIVERSITY OF ARIZONA,AZ,"$609,400"
Endometriosis,11224842,2025,NICHD,1R01HD116742-01A1,,Transcriptomic Changes during early endometriotic lesion development,"FAZLEABAS, ASGERALLY",HENRY FORD HEALTH + MICHIGAN STATE UNIVERSITY HEALTH SCIENCES,MI,"$716,192"
Endometriosis,11229890,2025,NICHD,1K99HD116935-01A1,,An idiographic approach to the neurobiological underpinnings of adolescent chronic pelvic pain,"HIDALGO LOPEZ, ESMERALDA",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$123,156"
Endometriosis,11239443,2025,NHLBI,3R01HL161000-04S1,,Mechanisms and interventions addressing accelerated cardiovascular disease risk in women with endometriosis,"ALEXANDER, LACY","PENNSYLVANIA STATE UNIVERSITY, THE",PA,"$87,918"
Endometriosis,11243933,2025,NICHD,1F30HD117526-01A1,,Endometriosis autoantibody target discovery and functional validation.,"KORTBAWI, HANNAH","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$42,656"
Endometriosis,11244863,2025,NICHD,1R21HD119928-01,,Defining the structure-interactome relationships of the basigin glycoprotein in endometriosis,"HUANG, MIA","SCRIPPS RESEARCH INSTITUTE, THE",CA,"$506,000"
Endometriosis,11246623,2025,NICHD,1R21HD119964-01,,Photoacoustic imaging of endometriosis with nanoparticle contrast agents,"DAY, EMILY",UNIVERSITY OF DELAWARE,DE,"$430,063"
Endometriosis,11250248,2025,NICHD,3P50HD112034-02S1,8675,Lymphocyte function in inflammatory disorders of human endometrium anddecidua,"HUDDLESTON, HEATHER","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$26,468"
