Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Heart Disease,10694479,2025,NIA,4R01NS127266-02,,Cognitive Aging Brain Morphology and Arrhythmias in Hispanics/Latinos: Implications for Prevention and Management of Alzheimer's Disease-Related Dementias,"CHEN, LIN",UNIVERSITY OF MINNESOTA,MN,"$947,878"
Heart Disease,10715270,2025,OD,2U54AG062334-06,6239,Emory Specialized Center of Research Excellence (SCORE) on Sex Differences,"OFOTOKUN, IGHOVWERHA",EMORY UNIVERSITY,GA,"$282,829"
Heart Disease,10715271,2025,OD,2U54AG062334-06,6240,Emory Specialized Center of Research Excellence (SCORE) on Sex Differences,"OFOTOKUN, IGHOVWERHA",EMORY UNIVERSITY,GA,"$252,058"
Heart Disease,10763438,2025,NIA,5R01AG076774-03,,Heart Rate Dynamics in Response to Upper-Extremity Function Test to Identify Irreversible Frailty After Invasive Therapy in Older Adults with Advanced Heart Disease,"TOOSIZADEH, NIMA",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,"$308,644"
Heart Disease,10766270,2025,NIA,5R01AG075758-03,,Study of Latinos-Investigation of Neurocognitive Aging-Alzheimer's disease,"GONZALEZ, HECTOR","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$5,554,856"
Heart Disease,10795751,2025,NIA,4R01NS129032-02,,Single-cell multi-region transcriptional and epigenomic dissection of VCID.,"KELLIS, MANOLIS",MASSACHUSETTS INSTITUTE OF TECHNOLOGY,MA,"$1,034,087"
Heart Disease,10796785,2025,NICHD,5R01HD101130-05,,Establishing an In Vitro Embryotoxicity Risk Classification System Based on Human Cardiac Organoid Model,"MA, ZHEN",SYRACUSE UNIVERSITY,NY,"$458,224"
Heart Disease,10814838,2025,NIMHD,5R01MD016402-03,,Telephone-based stress management to reduce blood pressure in Black women with hypertension in the Jackson Heart Study ,"SPRUILL, TANYA",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$728,691"
Heart Disease,10832050,2025,NHLBI,5R01HL168090-03,,Brain-immune crosstalk in myocardial infarction,"POLLER, WOLFRAM",MASSACHUSETTS GENERAL HOSPITAL,MA,"$762,703"
Heart Disease,10833561,2025,NIDDK,5R01DK125330-05,,Effects of Exercise and GLP-1R Agonism on Muscle Microvascular Perfusion and Insulin Action,"LIU, ZHENQI",UNIVERSITY OF VIRGINIA,VA,"$656,830"
Heart Disease,10841877,2025,NHLBI,1U24HL172722-01,,Pediatric Heart Network Data Coordinating Center,"MILLER, JULIE","NEW ENGLAND RESEARCH INSTITUTES, INC.",DE,"$3,125,882"
Heart Disease,10845690,2025,NHLBI,5R44HL144214-04,,Development of the Inspired Therapeutics NeoMate Mechanical Circulatory Support System for Neonates and Infants,"TAMEZ, DANIEL","INSPIRED THERAPEUTICS, LLC",VA,"$2,632,311"
Heart Disease,10853020,2025,NHLBI,5K23HL168233-02,,"Social Vulnerability, Sleep, and Early Hypertension Risk in Younger Adults","GAFFEY, ALLISON",YALE UNIVERSITY,CT,"$172,712"
Heart Disease,10877907,2025,NIEHS,5R01ES033222-04,,Effectiveness of Indoor Air Purifiers on Heart Failure Outcomes (The PURI-HF Trial),"VEDANTHAN, RAJESH",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$339,000"
Heart Disease,10878075,2025,NIAID,2R01AI114800-11,,Cardiac microlesion formation during invasive pneumococcal disease,"ORIHUELA, CARLOS",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$547,115"
Heart Disease,10883892,2025,NIA,4R01AG072387-02,,"Cerebral Autoregulation in the Cardiac Surgery Intensive Care Unit: Associations with Postoperative Delirium, Cognitive Change, and Biomarkers of Brain Injury","BROWN, CHARLES",STANFORD UNIVERSITY,CA,"$368,103"
Heart Disease,10884395,2025,NHLBI,5R01HL164823-03,,"Racial/Ethnic Influences on Early Vascular Aging and Cardiac Strain: Role of Cumulative Stress, Inflammatory and Metabolic Burden","RAO, UMA",UNIVERSITY OF CALIFORNIA-IRVINE,CA,"$678,060"
Heart Disease,10893612,2025,Type 1 Diabetes,5R01HL161821-03,,Sorbs2 targeting and BK channel regulation in the coronary artery of patients with type 1 diabetes,"LU, TONG",MAYO CLINIC ROCHESTER,MN,"$688,424"
Heart Disease,10897209,2025,NIAMS,5U01AR080377-03,,HIP fracture Accelerated surgical TreaTment And Care tracK-2 (HIP ATTACK-2) trial,"O'TOOLE, ROBERT",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$795,573"
Heart Disease,10908448,2025,NHLBI,5K01HL164764-04,,Sudden Death Associated with Substance Use,"NORBY, FAYE",UNIVERSITY OF MINNESOTA,MN,"$141,154"
Heart Disease,10917066,2025,NHLBI,5R01HL155396-04,,Coronary Artery Calcium in the PRagmatic EValuation of evENTs And Benefits of Lipid lowering in the Elderly: CAC PREVENTABLE Ancillary Study,"DAUBERT, MELISSA",DUKE UNIVERSITY,NC,"$1,058,459"
Heart Disease,10931356,2025,NICHD,5F31HD113262-02,,Investigating mechanisms of tissue polarity during development and disease,"STENSON, JAZMIN",PENNSYLVANIA STATE UNIV HERSHEY MED CTR,PA,"$36,017"
Heart Disease,10931391,2025,NCCIH,5R01AT012072-03,,Tai Chi Exercise and Wearable Feedback Technology to Promote Physical Activity in ACS Survivors,"YEH, GLORIA",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$497,146"
Heart Disease,10953826,2025,NHLBI,4R42HL167342-02,,"A non-invasive, automated platform for hemodynamic assessment of patients at risk of heart failure or pulmonary hypertension","MAHAJAN, AMAN",SENSYDIA CORPORATION,CA,"$1,607,970"
Heart Disease,10954249,2025,NIEHS,5R01ES034864-03,,Cardiometabolic diseases in the World Trade Center general responder cohort and the role of subsequent environmental exposures,"YITSHAK SADE, MAAYAN",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$474,332"
Heart Disease,10978214,2025,NHLBI,5R01HL157128-04,,Vascular dysfunction in coronary microcirculation,"DAS, KUMUDA",TEXAS TECH UNIVERSITY HEALTH SCIS CENTER,TX,"$634,922"
Heart Disease,10978860,2025,NHLBI,2R01HL144938-05A1,,The complex genetics of heart regeneration,"SUCOV, HENRY",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,"$573,956"
Heart Disease,10978860,2025,NIGMS,2R01HL144938-05A1,,The complex genetics of heart regeneration,"SUCOV, HENRY",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,"$700,000"
Heart Disease,10980520,2025,NHLBI,5R01HL157220-04,,Intradialytic Myocardial Stunning in Hemodialysis Patients - a Novel Cardiovascular Risk Factor,"CHARYTAN, DAVID",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$687,709"
Heart Disease,10980527,2025,NHLBI,5R01HL152297-04,,Collagen-derived peptides to target inflammation in myocardial infarction,"DE CASTRO BRAS, LISANDRA",EAST CAROLINA UNIVERSITY,NC,"$373,834"
Heart Disease,10980532,2025,NIA,5K23AG076977-03,,Midlife Vascular Risk Factors for Alzheimer's Disease in Persons with HFpEF,"BUTTS, BRITTANY",EMORY UNIVERSITY,GA,"$192,780"
Heart Disease,10980539,2025,NHLBI,5R01HL163258-03,,Cell Based Immunomodulation to Promote Post-Infarct Myocardial Repair,"GHANTA, RAVI",BAYLOR COLLEGE OF MEDICINE,TX,"$699,940"
Heart Disease,10980541,2025,NHLBI,5R01HL160569-04,,Microprotein Regulation of Mitochondrial Function,"MAKAREWICH, CATHERINE",CINCINNATI CHILDRENS HOSP MED CTR,OH,"$397,500"
Heart Disease,10980543,2025,NHLBI,5R01HL157281-04,,Transcriptional Control of Neonatal Heart Regeneration,"OLSON, ERIC",UT SOUTHWESTERN MEDICAL CENTER,TX,"$565,036"
Heart Disease,10980544,2025,NHLBI,5R01HL122124-08,,Mitochondria-SR Tethering: Its Role in Cardiac Bioenergetics and Ca2+ Dynamics,"CSORDAS, GYORGY",THOMAS JEFFERSON UNIVERSITY,PA,"$547,465"
Heart Disease,10980547,2025,NHLBI,5R01HL157519-04,,The function of Runx1 in cardiac fibroblasts and post-myocardial infarction healing,"FU, XING",LOUISIANA STATE UNIV AGRICULTURAL CENTER,LA,"$412,409"
Heart Disease,10980556,2025,NHLBI,5R01HL163103-03,,Hexosamine biosynthesis pathway metabolism during cardiac hypertrophy,"OLSON, AARON",SEATTLE CHILDREN'S HOSPITAL,WA,"$817,138"
Heart Disease,10980563,2025,NHLBI,5R35HL155656-05,,Altering Cardiac Cell Fate for Heart Repair,"QIAN, LI",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$928,062"
Heart Disease,10980564,2025,NHLBI,5R01HL166448-03,,Investigating altered smooth muscle cell mechanotransduction as a cause of supravalvular aortic stenosis,"WAGENSEIL, JESSICA",WASHINGTON UNIVERSITY,MO,"$388,750"
Heart Disease,10980565,2025,NHLBI,5R01HL160581-04,,Interplay between mitophagy and substrate utilization in heart failure progression,"SUN, NUO",OHIO STATE UNIVERSITY,OH,"$533,501"
