Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Lupus,10908542,2025,NIAID,5K23AI163359-06,,SLE-AWARE: SLE-- A Window into APOL1 Regulation andExpression,"BLAZER, ASHIRA",UNIVERSITY OF MARYLAND BALTIMORE,MD,"$197,640"
Lupus,10974476,2025,NIAID,5R01AI150664-05,,Origin and Function of Double Negative T cells in Lupus,"RANDALL, TROY",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$493,762"
Lupus,10976437,2025,NIEHS,5R01ES027353-08,,Role of alveolar macrophage in omega-3 fatty acid amelioration of silica-triggered autoimmunity.,"PESTKA, JAMES",MICHIGAN STATE UNIVERSITY,MI,"$565,997"
Lupus,10978222,2025,NIDDK,5R01DK135290-03,,A new paradigm of glomerular immune cell homing,"PETI-PETERDI, JANOS",UNIVERSITY OF SOUTHERN CALIFORNIA,CA,"$427,475"
Lupus,10983797,2025,NIAMS,5R00AR080207-04,,Regulation of lupus pathogenesis through modulation of thymic development of pathobiont-specific T cells,"ZEGARRA RUIZ, DANIEL",UNIVERSITY OF VIRGINIA,VA,"$206,489"
Lupus,10991364,2025,NIAID,5R21AI175868-02,,Divergence of V-region sequences from the human proteome as a factor in autoimmune diseases and the immunogenicity of therapeutic antibodies.,"SCHROEDER, HARRY",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$216,068"
Lupus,10991430,2025,NIEHS,5R01ES031863-04,,Early Pathogenic Steps in Xenobiotic-Induced Autoimmunity,"POLLARD, KENNETH","SCRIPPS RESEARCH INSTITUTE, THE",CA,"$542,761"
Lupus,10991804,2025,NIAID,5R21AI180737-02,,Thromboinflammatory pathways triggered by gut dysbiosis in patients with Lupus,"SILVERMAN, GREGG",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$205,519"
Lupus,10993089,2025,NIAMS,5R01AR080104-04,,The Role of the Adrb3/IL6 Axis in the Impact of Psychosocial Stress on Lupus Pathogenesis,"WANG, ANDREW",YALE UNIVERSITY,CT,"$438,377"
Lupus,11000308,2025,NIDDK,5R01DK131482-03,,Dissecting the heterogeneity and function of myeloid cells in lupus nephritis,"DAVIDSON, ANNE",FEINSTEIN INSTITUTE FOR MEDICAL RESEARCH,NY,"$592,335"
Lupus,11001208,2025,NIDDK,5R01DK134625-03,,Clinical applications of urine proteomics to lupus nephritis,"FAVA, ANDREA",JOHNS HOPKINS UNIVERSITY,MD,"$759,737"
Lupus,11003327,2025,NIAMS,5K24AR074534-07,,Advancing Quality and Outcomes Measurement in Rheumatology,"YAZDANY, JINOOS","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$198,198"
Lupus,11003332,2025,NIEHS,5R01ES030323-05,,Epigenetic modulation of CD4+ T cell differentiation and autoimmunity by trichloroethylene,"BLOSSOM, SARAH",UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,NM,"$222,502"
Lupus,11005060,2025,NIDDK,5R01DK135870-02,,Improving the Accuracy of Lupus Nephritis Diagnosis using Biomarkers Derived from Ultraviolet and Mid-infrared Spectroscopic Imaging,"REDDY, ROHITH",UNIVERSITY OF HOUSTON,TX,"$573,326"
Lupus,11006345,2025,NIAMS,5R01AR075813-05,,Impact of Loss-of-function NADPH Oxidase Variants on B cell Activation in SLE,"JACKSON, SHAUN",SEATTLE CHILDREN'S HOSPITAL,WA,"$520,458"
Lupus,11009003,2025,NIAMS,5R01AR078545-04,,The Role of Estrogen Receptor Alpha Variant Size and Localization in Modulating TLR7-Induced Inflammation,"CUNNINGHAM, MELISSA",MEDICAL UNIVERSITY OF SOUTH CAROLINA,SC,"$390,838"
Lupus,11009012,2025,NIAID,5R01AI158579-04,,"Ontogenetic niche of B cells at the CNS borders in homeostasis, aging and autoimmunity","COLONNA, MARCO",WASHINGTON UNIVERSITY,MO,"$561,061"
Lupus,11009059,2025,NIAID,5R21AI178437-02,,Elucidation of the interactome for the bioactive disaccharide Man(B1-4)GlcNAc,"HUANG, MIA","SCRIPPS RESEARCH INSTITUTE, THE",CA,"$223,100"
Lupus,11009436,2025,NIAID,1P01AI179251-01A1,5999,Administrative Core,"KAHLENBERG, JOANNE",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$195,338"
Lupus,11009437,2025,NIAID,1P01AI179251-01A1,6000,BIOPSII Core,"TSOI, LAM",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$350,816"
Lupus,11009438,2025,NIAID,1P01AI179251-01A1,6001,Stromal-Immune Interactions in Priming for and Maintaining Inflammation in Lupus Skin (Project 1),"GUDJONSSON, JOHANN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$507,633"
Lupus,11009439,2025,NIAID,1P01AI179251-01A1,6002,Dissecting the Stromal-Immune Interactions that Lead to Photosensitivity (Project 2),"KAHLENBERG, JOANNE",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$486,221"
Lupus,11010861,2025,NIAID,5R37AI155901-05,,"The role of TLRs, Type II IFN and Type III IFN in a Murine Model of Autoinflammation","MARSHAK-ROTHSTEIN, ANN",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$494,929"
Lupus,11013355,2025,NIAID,5R01AI079178-13,,Lymphatic regulation of lymph node function in lupus,"LU, THERESA",HOSPITAL FOR SPECIAL SURGERY,NY,"$501,005"
Lupus,11013898,2025,NIAID,5UC2AR081033-04,,Immunogenomics and Systems Biology Core,"GUDJONSSON, JOHANN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$200,000"
Lupus,11013898,2025,NIAMS,5UC2AR081033-04,,Immunogenomics and Systems Biology Core,"GUDJONSSON, JOHANN",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$400,000"
Lupus,11014952,2025,NIAID,5R01AI164692-04,,SYK and ZAP70 kinases in lymphocyte selection,"MÜSCHEN, MARKUS",YALE UNIVERSITY,CT,"$598,819"
Lupus,11015813,2025,NIAMS,5K08AR082453-02,,Perivascular adipose tissue in the pathogenesis of lupus vasculopathy,"SHI, HONG",AUGUSTA UNIVERSITY,GA,"$177,120"
Lupus,11017030,2025,NIAMS,5K23AR080803-03,,Engagement and Depression in Adolescents and Young Adults with Childhood-onset Lupus,"RUBINSTEIN, TAMAR",ALBERT EINSTEIN COLLEGE OF MEDICINE,NY,"$174,096"
Lupus,11017791,2025,NIAID,5UC2AR081039-04,,Lupus Omics Cutaneous Kidney Investigative Team (LOCKIT),"BUYON, JILL",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$1,050,000"
Lupus,11017791,2025,NIAMS,5UC2AR081039-04,,Lupus Omics Cutaneous Kidney Investigative Team (LOCKIT),"BUYON, JILL",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$49,871"
Lupus,11017791,2025,OD,5UC2AR081039-04,,Lupus Omics Cutaneous Kidney Investigative Team (LOCKIT),"BUYON, JILL",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$150,000"
Lupus,11017808,2025,NIDDK,5R01DK136011-03,,Targeting ferroptosis in renal tubular epithelial cells to improve outcomes of lupus nephritis,"SCINDIA, YOGESH",UNIVERSITY OF FLORIDA,FL,"$419,497"
Lupus,11017818,2025,NIAID,5R21AI183329-02,,The antigenic origin of anti-dsDNA antibodies in SLE,"ANDRADE, FELIPE",JOHNS HOPKINS UNIVERSITY,MD,"$198,547"
Lupus,11021015,2025,NIAID,5R01AI171184-02,,Mapping the cell-type-specific molecular and genetic basis of lupus using single cell multiomics,"YE, CHUN","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$783,273"
Lupus,11021584,2025,NIAMS,1R01AR085033-01,,Improving the diagnosis and outcome of diffuse alveolar hemorrhage in systemic lupus erythematosus,"REEVES, WESTLEY",UNIVERSITY OF FLORIDA,FL,"$544,689"
Lupus,11030242,2025,NIAID,5U01AI176244-03,,Autoimmune Drivers and Protectors Team Science (ADAPTS),"JAMES, JUDITH",OKLAHOMA MEDICAL RESEARCH FOUNDATION,OK,"$1,249,430"
Lupus,11031414,2025,NIAID,5R21AI183113-02,,Izumo1 in remission in SLE,"ANDRADE, FELIPE",JOHNS HOPKINS UNIVERSITY,MD,"$198,547"
Lupus,11032687,2025,NIAMS,1K24AR085177-01,,Mentoring the next generation of researchers in pediatric autoimmunity,"JACKSON, SHAUN",SEATTLE CHILDREN'S HOSPITAL,WA,"$212,574"
Lupus,11035204,2025,NIAID,5R01AI072429-17,,Regulation of TLR trafficking for proper self versus non-self discrimination,"BARTON, GREGORY",UNIVERSITY OF CALIFORNIA BERKELEY,CA,"$524,936"
Lupus,11040307,2025,NHLBI,5R01HL065095-26,,Regulators of immune complex mediated neutrophil antigen presentation,"MAYADAS, TANYA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$751,797"
Lupus,11040706,2025,NIAID,1R01AI188364-01,,Foxp3 isoform expression and regulation of autoantibody production,"ZIEGLER, STEVEN",BENAROYA RESEARCH INST AT VIRGINIA MASON,WA,"$709,019"
Lupus,11040999,2025,NIAID,5R01AI168299-04,,Unraveling the molecular mechanisms of impaired central tolerance in COPA syndrome,"SHUM, ANTHONY","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$629,882"
Lupus,11042725,2025,NIAMS,5R01AR073912-07,,T cell regulation of pathogenic B cells in systemic autoimmunity,"WEINSTEIN, JASON",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,"$436,319"
Lupus,11042765,2025,NIAID,5R01AI155662-05,,Harnessing the anti-inflammatory activity of extracellular sialylation of IgG.,"ANTHONY, ROBERT",MASSACHUSETTS GENERAL HOSPITAL,MA,"$533,224"
Lupus,11044041,2025,NIAID,5R01AI124512-10,,Development of Immune Tolerance,"FARRAR, MICHAEL",UNIVERSITY OF MINNESOTA,MN,"$427,251"
Lupus,11046579,2025,NIAID,5P01AI179405-02,6032,Core A - Admin Core,"TSOKOS, GEORGE",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$95,616"
Lupus,11046580,2025,NIAID,5P01AI179405-02,6033,Core B - BWH Nanoparticle Core,"ABDI, REZA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$352,599"
Lupus,11046582,2025,NIAID,5P01AI179405-02,6034,Core C- BIDMC Core,"VLACHOS, IOANNIS",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$227,481"
Lupus,11046583,2025,NIAID,5P01AI179405-02,6035,Project 1 - BIDMC,"TSOKOS, GEORGE",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$685,464"
Lupus,11046589,2025,NIAID,5P01AI179405-02,6036,Project 2 - BWH,"ABDI, REZA",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$849,884"
Lupus,11047679,2025,NIAID,5R01AI182319-02,,Mechanisms of BNT162b2 Vaccine Immunogenicity in Systemic Lupus Erythematosus or Scleroderma,"UTZ, PAUL",STANFORD UNIVERSITY,CA,"$729,999"
Lupus,11047839,2025,NIAID,1R01AI182085-01A1,,AhR suppression of T-bet+ B cells in SLE,"MOUNTZ, JOHN",UNIVERSITY OF ALABAMA AT BIRMINGHAM,AL,"$555,774"
Lupus,11049028,2025,NIAMS,5R01AR080668-02,,Digital Pathology and Computational Image Analysis for Lupus Nephritis,"HODGIN, JEFFREY",UNIVERSITY OF MICHIGAN AT ANN ARBOR,MI,"$604,489"
Lupus,11049139,2025,NIAID,5R01AI164968-03,,Functional consequences of intergenic autoimmune disease risk variants,"NIEWOLD, TIMOTHY",HOSPITAL FOR SPECIAL SURGERY,NY,"$807,441"
Lupus,11050882,2025,NIAMS,1R01AR083983-01A1,,Mechanisms underlying interferon-induced T peripheral helper cell differentiation,"CHOI, JAEHYUK",NORTHWESTERN UNIVERSITY AT CHICAGO,IL,"$715,957"
Lupus,11053509,2025,NIAID,5U01AI176135-03,,Mechanisms of New-Onset Autoimmunity/Longitudinal Immune Systems Analysis (MONA-LISA),"KARP, DAVID",UT SOUTHWESTERN MEDICAL CENTER,TX,"$1,252,131"
Lupus,11053538,2025,NIAMS,5K08AR082939-02,,Using Bioinformatics Methodologies to Explore the Role of Short Interspersed Elements in the Pathogenesis of Idiopathic Inflammatory Myopathies,"NAJJAR, RAYAN",UNIVERSITY OF WASHINGTON,WA,"$164,808"
Lupus,11055333,2025,NIAID,5U01AI176310-03,,"Predictive drivers of new onset, relapse, and progression of human autoimmunity in skin","HARRIS, JOHN",UNIV OF MASSACHUSETTS MED SCH WORCESTER,MA,"$1,248,082"
Lupus,11058209,2025,NIAID,1R21AI183127-01A1,,Development of novel antibodies to autoreactive B cells as a potential therapeutic for SLE patients,"KALININA, OLGA",LOYOLA UNIVERSITY CHICAGO,IL,"$423,500"
Lupus,11058353,2025,NIAMS,5R01AR081654-03,,Role of the L1 retrotransposon in interferon-positive SLE,"MUSTELIN, TOMAS",UNIVERSITY OF WASHINGTON,WA,"$506,280"
Lupus,11060920,2025,NIDDK,5R01DK136980-02,,Interrogating The Biology Of Human Lupus Nephritis Using Single Cell Resolution Spatial Transcriptomics,"JACKSON, SHAUN",SEATTLE CHILDREN'S HOSPITAL,WA,"$825,415"
Lupus,11061108,2025,NHLBI,5R01HL151494-05,,The Biogenesis of Platelet-Derived Extracellular Vesicles and their Impact on Megakaryocyte Maturation,"MACHLUS, KELLIE",BOSTON CHILDREN'S HOSPITAL,MA,"$577,271"
Lupus,11061264,2025,NEI,5UC2AR081032-04,,Accelerating Medicines Partnership-Autoimmune and Immunologic Disease Tissue Research Core,"GUTHRIDGE, JOEL",OKLAHOMA MEDICAL RESEARCH FOUNDATION,OK,"$100,000"
Lupus,11061264,2025,NIAID,5UC2AR081032-04,,Accelerating Medicines Partnership-Autoimmune and Immunologic Disease Tissue Research Core,"GUTHRIDGE, JOEL",OKLAHOMA MEDICAL RESEARCH FOUNDATION,OK,"$150,000"
