Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Multiple Sclerosis,10732548,2025,NINDS,4K22NS123508-03,,"Ethnicity-Associated, Differential CNS Demyelinating Autoimmune Disease Severity: Reconciling Identity, Ancestry and Neurotoxic Antibody Response","TELESFORD, KIEL",VANDERBILT UNIVERSITY MEDICAL CENTER,TN,"$186,624"
Multiple Sclerosis,10878820,2025,NIAID,5R01AI169070-03,,Role of Natural Killer Cell Diversity in Multiple Sclerosis Risk and Disease Course,"HOLLENBACH, JILL","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",CA,"$753,576"
Multiple Sclerosis,10903363,2025,NINDS,2R01NS115975-06,,The role of myelination in cortical circuit function and motor behavior,"WELLE, CRISTIN",UNIVERSITY OF COLORADO DENVER,CO,"$571,444"
Multiple Sclerosis,10982500,2025,NINDS,5R01NS125230-04,,Precision of Myelin Plasticity in Health and Disease,"HUGHES, ETHAN",UNIVERSITY OF COLORADO DENVER,CO,"$347,925"
Multiple Sclerosis,10983743,2025,NINDS,5R01NS116091-05,,Virtual Histology for Assessing MS Pathologies,"SONG, SHENG-KWEI",WASHINGTON UNIVERSITY,MO,"$412,544"
Multiple Sclerosis,10984448,2025,NINDS,5R01NS119178-05,,The role of the astrocyte immunoproteasome during chronic CNS autoimmunity,"WILLIAMS, JESSICA",CLEVELAND CLINIC LERNER COM-CWRU,OH,"$362,250"
Multiple Sclerosis,10984959,2025,NIAID,5R01AI156384-04,,Role of IL-7R in CNS autoimmunity,"ROSTAMI, A.M.",THOMAS JEFFERSON UNIVERSITY,PA,"$378,300"
Multiple Sclerosis,10984972,2025,NINDS,5K23NS116225-05,,Obesity as a Driver of Inflammation and Brain Volume Loss in Pediatric Multiple Sclerosis,"BRENTON, JAMES",UNIVERSITY OF VIRGINIA,VA,"$187,423"
Multiple Sclerosis,10985010,2025,NIAID,5R21AI176366-02,,Modulation of pathogenic T cells in EAE,"BETTELLI, ESTELLE",BENAROYA RESEARCH INST AT VIRGINIA MASON,WA,"$210,126"
Multiple Sclerosis,10989928,2025,NIAID,5R21AI176336-02,,Therapeutic potential of affinity enhanced pMHCII-4E reagents,"DILEEPAN, THAMOTHARAMPILLAI",UNIVERSITY OF MINNESOTA,MN,"$187,938"
Multiple Sclerosis,10989930,2025,NINDS,5R01NS041435-24,,Mechanisms by which effector T cells modulate endogenous remyelination,"CALABRESI, PETER",JOHNS HOPKINS UNIVERSITY,MD,"$442,217"
Multiple Sclerosis,10989963,2025,NINDS,5R01NS120417-05,,Protective role of Clec7a/dectin-1 in CNS autoimmunity,"SHINOHARA, MARI",DUKE UNIVERSITY,NC,"$400,857"
Multiple Sclerosis,10990529,2025,NIEHS,5R01ES025530-09,,Role of AHR in Dendritic Cells in the Control of CNS Autoimmunity,"QUINTANA, FRANCISCO",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$372,171"
Multiple Sclerosis,10990532,2025,NIAID,5R01AI175111-02,,Defining how phospholipid signaling networks control Th17 differentiation and effector function,"HAWSE, WILLIAM",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$609,518"
Multiple Sclerosis,10992089,2025,NINDS,4R33NS114383-03,,Development of Drugs that Modify CNS Innate Immunity for the Treatment of Multiple Sclerosis,"QUINTANA, FRANCISCO",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$434,860"
Multiple Sclerosis,10993138,2025,NINDS,5R01NS135228-02,,"Mediterranean Diet, Biological Aging, and Risk for Disease and Disability Progression in Multiple Sclerosis","KATZ SAND, ILANA",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,NY,"$379,197"
Multiple Sclerosis,10993185,2025,NINDS,5R01NS131948-02,,Quantification of Multi-Compartment T1 Relaxation and Magnetization Transfer in Biological Tissue: From Biophysics to Biomarkers for Multiple Sclerosis,"ASSLAENDER, JAKOB",NEW YORK UNIVERSITY SCHOOL OF MEDICINE,NY,"$570,975"
Multiple Sclerosis,10994136,2025,NINDS,5R01NS134887-02,,SOX2-regulated astrocyte homeostasis and pathophysiology,"GUO, FUZHENG",UNIVERSITY OF CALIFORNIA AT DAVIS,CA,"$595,169"
Multiple Sclerosis,10996119,2025,NINDS,5R01NS119615-05,,How do CNS fibroblasts regulate the response to neuroinflammation?,"DANEMAN, RICHARD","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$397,238"
Multiple Sclerosis,10997373,2025,NIAID,5R01AI173189-03,,Deciphering the Role of Epstein-Barr Virus Molecular Mimicry and B cell Transformation in Multiple Sclerosis,"ROBINSON, WILLIAM",STANFORD UNIVERSITY,CA,"$570,031"
Multiple Sclerosis,10999299,2025,NINDS,5F31NS132520-02,,Inhibition of MIF nuclease-mediated parthanatos prevents neuron and oligodendrocyte death in the context of multiple sclerosis,"MACE, JACKSON",JOHNS HOPKINS UNIVERSITY,MD,"$49,538"
Multiple Sclerosis,11001595,2025,NINDS,5R01NS130308-02,,Mechanisms underlying regulation of injured axons in CNS autoimmunity,"GU, CHEN",OHIO STATE UNIVERSITY,OH,"$469,016"
Multiple Sclerosis,11001934,2025,NIDDK,5R01DK134340-03,,"A randomized, sham-controlled clinical trial evaluating individualized neuromodulation of cortical regions involved in neurogenic overactive bladder in Multiple Sclerosis","KHAVARI, ROSE",METHODIST HOSPITAL RESEARCH INSTITUTE,TX,"$305,092"
Multiple Sclerosis,11002664,2025,NCCIH,5R01AT012641-02,,Biosynthesis and biological mechanism of minor cannabinoids,"MOORE, BRADLEY","UNIVERSITY OF CALIFORNIA, SAN DIEGO",CA,"$640,047"
Multiple Sclerosis,11003264,2025,NIAID,5R01AI160774-05,,TGF-b superfamily signaling in controlling Th17 cell function in autoimmune neuroinflammation,"WAN, YISONG",UNIV OF NORTH CAROLINA CHAPEL HILL,NC,"$371,180"
Multiple Sclerosis,11004717,2025,NINDS,5R01NS117742-05,,The role of TNFR2 in ameliorating progressive encephalomyelitis,"FORSTHUBER, THOMAS",UNIVERSITY OF TEXAS SAN ANTONIO,TX,"$337,715"
Multiple Sclerosis,11005392,2025,NINDS,5R01NS109481-04,,Multiple sclerosis as a cytodegenerative proteopathy,"STYS, PETER",UNIVERSITY OF CALGARY,CANADA,"$287,793"
Multiple Sclerosis,11006321,2025,NINDS,5F31NS130898-03,,Investigating the role of cannabinoid receptors in oligodendrocyte development,"MIRAMONTES, TANIA",OREGON HEALTH & SCIENCE UNIVERSITY,OR,"$47,139"
Multiple Sclerosis,11009939,2025,NINDS,5R01NS098023-08,,Leveraging electronic health records to optimize treatment selection and response in multiple sclerosis,"XIA, ZONGQI",UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PA,"$560,643"
Multiple Sclerosis,11010366,2025,NIAID,5R01AI162929-04,,Targeting OCA-B in multiple sclerosis,"TANTIN, DEAN",UNIVERSITY OF UTAH,UT,"$399,740"
