Category,Appl_id,FY,Funding IC,Project Number,Sub Project #,Project Title,PI_Name,Org Name,State / Country,Amount
Parkinson's Disease,10580464,2025,NIAID,1K22AI174008-01,,Interrogating the RIP kinase function of LRRK2 in chronic inflammation and susceptibility to infection.,"WEINDEL, CATHERINE",TULANE UNIVERSITY OF LOUISIANA,LA,"$162,000"
Parkinson's Disease,10611810,2025,NIA,4R01NS125592-02,,?-Synuclein strain properties are associated with diagnosis of and progression to Parkinson's disease with dementia,"MAO, XIAOBO",JOHNS HOPKINS UNIVERSITY,MD,"$673,092"
Parkinson's Disease,10694546,2025,NIA,4R01NS125770-02,,Combinatorial effects of PTMs on a-Synuclein structure function and aggregation,"RHOADES, ELIZABETH",UNIVERSITY OF PENNSYLVANIA,PA,"$435,507"
Parkinson's Disease,10694576,2025,NIA,4R01NS078165-13,,Mechanisms of Synaptic Dysfunction in Parkinson s and Other Synuclein-Linked Diseases,"MORGAN, JENNIFER",MARINE BIOLOGICAL LABORATORY,MA,"$616,013"
Parkinson's Disease,10694590,2025,NIA,4R01NS126342-02,,The Impact of Beta- and Gamma-Synucleins on Alpha-Synuclein's Synaptic Function,"BURRE, JACQUELINE",WEILL MEDICAL COLL OF CORNELL UNIV,NY,"$783,258"
Parkinson's Disease,10694615,2025,NIA,4R01NS124848-02,,Dissecting the Etiology of The Lewy Body Dementias,"FINKBEINER, STEVEN",J. DAVID GLADSTONE INSTITUTES,CA,"$764,836"
Parkinson's Disease,10698736,2025,NIA,4R01NS122880-02,,Polo-like-kinase-2-dependent ?-Synuclein Serine-129 Phosphorylation: a Physiological RoleDuring Synaptic Activity,"DETTMER, ULF",BRIGHAM AND WOMEN'S HOSPITAL,MA,"$694,072"
Parkinson's Disease,10699782,2025,NIA,4R01NS126609-02,,Neuroplasticity and the emergence of motor and cognitive deficits in prodromal synucleinopathy,"MACKINNON, COLUM",UNIVERSITY OF MINNESOTA,MN,"$787,249"
Parkinson's Disease,10699946,2025,NIA,4RF1NS128607-02,,Single-Nuclei Multiomic Analysis of DLB Progression,"KIM, YOON-SEONG",RUTGERS BIOMEDICAL AND HEALTH SCIENCES,NJ,"$1,209,607"
Parkinson's Disease,10802754,2025,NIGMS,2R01GM133172-05,,Regulation of lysosomal potassium channels,"REN, DEJIAN",UNIVERSITY OF PENNSYLVANIA,PA,"$349,375"
Parkinson's Disease,10820430,2025,NINDS,5R01NS123431-04,,Determining the mechanism of alpha-synuclein dependent innate immune responses in the brain,"BECKHAM, JOHN",UT SOUTHWESTERN MEDICAL CENTER,TX,"$300,395"
Parkinson's Disease,10831541,2025,NINDS,5R01NS124819-03,,In vivo synaptic and dopamine transporter imaging in Parkinson's disease,"MATUSKEY, DAVID",YALE UNIVERSITY,CT,"$660,955"
Parkinson's Disease,10842451,2025,NINDS,5R01NS125317-03,,Chloride Homeostasis in Lysosomal Function and Parkinson's Disease,"MAO, ZIXU",EMORY UNIVERSITY,GA,"$604,578"
Parkinson's Disease,10862705,2025,NIA,5R01NS119689-04,,Differentiation and characterization of conformational alpha-synuclein strains associated with Parkinson's disease and related synucleinopathies,"SHAHNAWAZ, MOHAMMAD",UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,TX,"$517,505"
Parkinson's Disease,10866369,2025,NIA,5U19AG071754-04,8809,NAPS2 Clinical Core,"BOEVE, BRADLEY",WASHINGTON UNIVERSITY,MO,"$289,898"
Parkinson's Disease,10866376,2025,NIA,5U19AG071754-04,8810,NAPS2 Biofluid Core,"KOTZBAUER, PAUL",WASHINGTON UNIVERSITY,MO,"$437,388"
Parkinson's Disease,10866380,2025,NIA,5U19AG071754-04,8811,NAPS2 Neuroimaging Core,"KANTARCI, KEJAL",WASHINGTON UNIVERSITY,MO,"$576,739"
Parkinson's Disease,10866385,2025,NIA,5U19AG071754-04,8812,NAPS2 Polysomnogram Core,"ST. LOUIS, ERIK",WASHINGTON UNIVERSITY,MO,"$510,194"
Parkinson's Disease,10866395,2025,NIA,5U19AG071754-04,8815,Project: Predicting Phenoconversion,"POSTUMA, RONALD",WASHINGTON UNIVERSITY,MO,"$132,424"
Parkinson's Disease,10877207,2025,NINDS,4R00NS126722-03,,Investigating the Role of Neuronal SYNJ2 in mRNA Transport and Mitochondrial Function,"GIBBS, WHITNEY",NEW YORK UNIVERSITY,NY,"$224,099"
Parkinson's Disease,10913351,2025,NINDS,5R01NS118146-06,,Multi-tissue High-throughput Proteomic and Genomic Study in Parkinson's Disease,"BENITEZ, BRUNO",BETH ISRAEL DEACONESS MEDICAL CENTER,MA,"$581,271"
Parkinson's Disease,10927205,2025,NINDS,5R01NS124226-05,,The Role of KCa3.1 in Microglial function and in Parkinsons disease pathogenesis,"KANTHASAMY, ARTHI",UNIVERSITY OF GEORGIA,GA,"$382,212"
Parkinson's Disease,10929311,2025,NINDS,5R01NS124650-04,,Oscillatory Neural Correlates of Motor Phenotypes in Parkinson Disease,"INCE, NURI",MAYO CLINIC ROCHESTER,MN,"$439,964"
Parkinson's Disease,10930962,2025,NINDS,5R01NS133433-03,,Functional Magnetic Resonance Imaging and Deep Learning to Improve Deep Brain Stimulation Therapy,"AJALA, AFIS","GE MEDICAL SYSTEMS INFORMATION TECHNOLOGIES, INC",NY,"$547,547"
Parkinson's Disease,10954711,2025,NIEHS,5R01ES034270-03,,Which mechanisms of pollutant-induced mitochondrial dysfunction cause dopaminergic neurodegeneration?,"MEYER, JOEL",DUKE UNIVERSITY,NC,"$400,684"
